main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,pass_completion_rate,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,rating
Right Back,11634,Cristiano Piccini,Real Betis,218,1495,66.95797694310153,64.46280991735537,67.04545454545455,67.5851851851852,27.707006369426757,27.906976744186046,48.82954170788,46.35568513119532,46.706586826347305,63.55555555555556,55.782312925170075,0.0,0.0,40.43539744088088
Right Back,16332,Ognjen Vranješ,Sporting Gijón,1041,929,47.37820751208628,67.35537190082643,66.47727272727272,41.7037037037037,57.6963906581741,1.1627906976744187,27.332673920211036,5.655976676384839,11.377245508982037,70.66666666666667,100.0,0.0,0.0,28.014299918951288
Right Back,20064,Hugo Miguel Almeida Costa Lopes,Granada,1049,2153,47.15507623651916,70.24793388429751,59.09090909090909,48.8,36.3588110403397,18.6046511627907,47.279920870425336,30.553935860058306,11.976047904191619,76.0,38.435374149659864,0.0,16.666666666666668,35.27445088547507
Right Back,21210,Mariano Ferreira Filho,Sevilla,213,1673,57.73521755299368,56.19834710743801,62.499999999999986,56.13333333333333,24.363057324840764,43.410852713178286,29.047148038245968,35.91836734693877,86.82634730538922,53.333333333333336,47.61904761904762,0.0,41.66666666666667,43.49175376567591
Right Back,23800,Laureano Sanabria Ruiz,RC Deportivo La Coruña,219,1483,77.40795834882857,70.24793388429751,67.61363636363636,44.44444444444444,38.21656050955415,16.279069767441857,44.41147378832839,23.4402332361516,32.33532934131737,66.66666666666666,50.0,0.0,0.0,36.752040390718406
Left Back,24132,Francisco Miguel Varela Martín,Real Betis,218,934,33.65563406470808,15.289256198347106,33.52272727272727,31.377777777777776,14.278131634819541,31.007751937984494,40.48796571051764,18.483965014577254,46.10778443113773,14.22222222222222,13.945578231292515,0.0,0.0,24.049726550256388
Right Back,24138,Joaquín José Marín Ruiz,Rayo Vallecano,360,2044,65.73075492748235,100.0,62.499999999999986,50.37037037037037,66.24203821656052,14.728682170542633,22.25519287833828,26.297376093294456,17.964071856287426,100.0,61.904761904761905,0.0,16.666666666666668,43.97987679852325
Left Back,24263,Ismael López Blanco,Sporting Gijón,1041,2601,67.47861658609149,56.19834710743801,69.88636363636364,72.72592592592592,42.88747346072187,22.868217054263567,34.289482360699,49.32944606413993,32.93413173652695,60.88888888888889,27.210884353741495,18.18181818181818,0.0,43.24428369837839
Left Back,26023,Juan Francisco García García,Levante UD,221,1773,72.66641874302717,35.537190082644614,67.04545454545455,76.1925925925926,5.201698513800427,7.364341085271317,13.979558193208074,21.807580174927114,17.964071856287426,40.444444444444436,27.210884353741495,0.0,20.833333333333336,28.162930998953616
Left Back,26448,Javier Garrido Behovide,Las Palmas,208,1674,39.8475269616958,16.11570247933884,47.159090909090914,75.3037037037037,8.333333333333334,10.077519379844961,76.06330365974286,27.1137026239067,22.15568862275449,19.555555555555554,23.809523809523807,0.0,20.833333333333336,23.90284523091369
Right Back,26633,Alberto Lora Ramos,Sporting Gijón,1041,2424,43.882484194867985,42.56198347107438,73.29545454545455,57.37777777777777,38.05732484076433,26.35658914728682,45.730300032970675,16.44314868804664,26.34730538922156,46.22222222222223,36.054421768707485,0.0,45.833333333333336,32.94186476535541
Left Back,26780,Guilherme Magdalena Siqueira,Valencia,207,1398,63.09036816660469,40.49586776859503,53.97727272727273,46.82962962962963,19.320594479830152,5.038759689922481,62.149686778766934,49.50437317784256,22.754491017964074,43.111111111111114,38.0952380952381,0.0,0.0,31.18473111236047
Left Back,27054,Roberto Lago Soto,Getafe,216,1578,78.98847155076237,50.826446280991725,60.22727272727272,55.022222222222226,30.891719745222936,21.70542635658915,62.05077481041875,19.067055393586003,20.359281437125752,52.0,44.89795918367348,0.0,45.833333333333336,35.13833633791276
Left Back,27241,Víctor Guillermo Álvarez Delgado,Espanyol,214,2323,63.555224990702875,38.4297520661157,34.65909090909091,40.548148148148144,36.62420382165605,18.6046511627907,21.101219914276314,20.758017492711364,16.167664670658684,42.22222222222222,45.91836734693878,9.09090909090909,29.166666666666668,31.228164933037597
Left Back,27335,Arthur Etienne Boka,Málaga,223,1115,39.8475269616958,17.355371900826444,50.0,47.659259259259265,16.401273885350317,13.178294573643413,49.42301351796904,38.30903790087463,23.952095808383238,17.333333333333336,41.15646258503402,0.0,0.0,23.830580264391905
Left Back,27347,Juan Manuel Vargas Risco,Real Betis,218,1866,21.253253997768688,7.438016528925619,50.0,46.34074074074074,0.0,44.1860465116279,28.750412133201447,26.6472303206997,48.50299401197605,8.0,40.47619047619048,27.27272727272727,37.5,25.09507870355238
