main_position,player_id,player_name,team,team_id,minutes_played,goal_assists_per90,key_passes_per90,progressive_passes_per90,duels_won_per90,duel_success_rate,pass_completion_rate,shots_total_per90,xg_total_per90,dribbles_completed_per90,goals_scored_per90,dribble_success_rate,progressive_carries_per90,fouls_won_per90,chances_created_per90,rating
Center Attacking Midfield,3496,Mesut Özil,Arsenal,1,3283,100.0,100.0,70.19583843329252,18.13953488372093,69.45349258052842,82.82828282828287,26.16487455197133,37.142857142857146,43.07692307692307,26.229508196721312,74.92307692307692,73.3433734939759,16.40625,100.0,62.931123298993015
Center Attacking Midfield,3535,Roberto Firmino Barbosa de Oliveira,Liverpool,24,2259,51.92307692307693,35.59322033898305,11.811505507955934,82.79069767441861,74.62902642055738,56.116722783389484,70.60931899641578,74.28571428571429,64.92307692307692,63.934426229508205,78.63076923076923,46.611445783132524,5.859375000000001,37.7906976744186,47.58132005459798
Center Attacking Midfield,3567,Georginio Wijnaldum,Newcastle United,37,3389,19.230769230769234,19.661016949152543,10.77111383108935,28.37209302325581,85.93919652551575,90.53497942386835,29.39068100358423,48.57142857142858,63.69230769230769,47.540983606557376,91.12307692307692,46.31024096385543,20.703125,19.18604651162791,36.002366225109945
Center Attacking Midfield,3606,Ander Herrera Agüera,Manchester United,39,1595,21.153846153846153,23.728813559322038,51.591187270501834,100.0,85.70394498733262,84.32472876917322,26.523297491039433,34.285714285714285,33.84615384615384,26.229508196721312,76.92307692307693,44.35240963855422,19.921875,22.96511627906977,33.37483646730732
Center Attacking Midfield,3629,Sadio Mané,Southampton,25,2825,36.53846153846153,25.423728813559322,12.545899632802938,35.8139534883721,54.36120159247195,69.734380845492,75.98566308243728,100.0,75.6923076923077,57.377049180327866,68.33846153846153,71.31024096385543,42.1875,26.453488372093027,46.08242346338068
Center Attacking Midfield,3828,Steven Davis,Southampton,25,2915,11.538461538461538,33.89830508474576,61.19951040391677,41.86046511627908,54.16214259862468,75.8323980546203,0.0,8.571428571428571,19.384615384615383,24.59016393442623,82.9076923076923,51.581325301204814,3.125000000000001,29.94186046511628,29.115896389407247
Center Attacking Midfield,3944,Gylfi Þór Sigurðsson,Swansea City,26,3011,15.384615384615385,43.389830508474574,22.215422276621787,27.441860465116285,71.51646760767282,46.65170220725779,73.47670250896059,54.28571428571429,24.000000000000004,52.459016393442624,67.23076923076924,25.07530120481928,7.2265625,38.95348837209303,35.52390461150687
Center Attacking Midfield,4090,Adam David Lallana,Liverpool,24,2165,55.76923076923076,47.45762711864407,20.62423500611995,65.58139534883722,68.06007962359753,69.884025439581,40.501792114695334,37.142857142857146,52.307692307692314,26.229508196721312,75.23076923076923,69.4277108433735,17.1875,48.54651162790698,42.05329799986058
Center Attacking Midfield,4275,Ross Barkley,Everton,29,3390,40.38461538461538,34.23728813559322,42.594859241126066,15.813953488372098,60.948244661599716,87.76655443322112,68.45878136200717,48.57142857142858,74.15384615384616,34.42622950819672,84.35384615384615,75.6777108433735,32.6171875,34.593023255813954,46.30328162882701
Center Attacking Midfield,4891,Ibrahim Afellay,Stoke City,30,2248,15.384615384615385,11.525423728813559,36.964504283965724,29.30232558139535,88.09265291349982,99.88776655443327,34.05017921146953,14.285714285714288,46.76923076923077,13.114754098360656,88.92307692307692,71.61144578313254,20.898437499999996,11.337209302325581,28.97301081786927
