main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90,rating
Right Center Midfield,10037,Danilo Barbosa da Silva,Valencia,207,1492,4.791086350974926,4.953560371517026,36.69250645994832,54.0708514605345,49.33333333333334,30.10930771778735,0.0,0.0,63.64824495892457,53.339517625231906,30.069930069930066,28.4621631492132
Left Center Midfield,10802,André Filipe Tavares Gomes,Valencia,207,2511,35.766016713091915,20.743034055727552,60.20671834625324,69.67060285891857,16.444444444444443,30.142431268632002,13.333333333333334,22.222222222222225,67.32636295743092,47.736549165120586,54.02097902097901,37.999568697462756
Left Center Midfield,27148,Abraham González Casanova,Espanyol,214,1217,19.6100278551532,28.482972136222905,0.0,61.99502796768178,28.888888888888896,12.454455117588612,9.333333333333334,15.555555555555555,15.552651232262878,57.4582560296846,9.965034965034961,26.59508278944696
Left Center Midfield,3057,Jonjo Shelvey,Newcastle United,37,2355,77.27019498607241,42.72445820433436,32.816537467700265,58.887507768800496,22.22222222222222,3.776084796290165,4.0,33.33333333333333,86.16504854368932,65.04638218923932,48.60139860139859,48.01181436483211
Right Center Midfield,3296,Marouane Fellaini-Bakkioui,Manchester United,39,1128,13.370473537604457,16.408668730650152,20.930232558139537,74.58048477315101,29.33333333333334,20.967207684663805,9.333333333333334,0.0,60.00746825989545,64.21150278293135,66.08391608391607,31.381689610156634
Left Center Midfield,3304,Harry Arter,AFC Bournemouth,28,1979,43.50974930362116,25.69659442724458,20.930232558139537,83.716594157862,54.666666666666664,32.262338522689646,5.333333333333334,0.0,56.49738610903658,64.48979591836734,42.132867132867126,42.523813929499
Right Center Midfield,3328,James Ward-Prowse,Southampton,25,1318,55.20891364902506,57.27554179566562,13.953488372093027,57.05407085146052,4.000000000000001,30.73865518383571,17.333333333333336,60.0,86.68782673637043,38.905380333951754,65.2097902097902,44.9374931834297
Right Center Midfield,3343,Dan Gosling,AFC Bournemouth,28,2637,16.211699164345404,22.291021671826623,26.356589147286826,79.3349906774394,44.888888888888886,34.77972838688307,13.333333333333334,6.666666666666667,60.92233009708738,52.50463821892393,26.3986013986014,35.922937959467355
Left Center Midfield,3436,Idrissa Gana Gueye,Aston Villa,59,3298,28.690807799442897,14.551083591331265,48.3204134366925,80.8576755748912,100.0,52.23583968201392,0.0,4.444444444444445,81.25466766243464,66.17810760667902,79.54545454545455,48.24791895546371
Right Center Midfield,3462,Jack Frank Porteous Cork,Swansea City,26,2632,33.48189415041782,21.36222910216718,32.558139534883715,77.99875699192042,60.44444444444444,31.401126200728726,4.0,6.666666666666667,78.79014189693801,64.61966604823746,59.44055944055944,42.95331133615888
