main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate,rating
Left Defensive Midfield,3272,Oriol Romeu Vidal,Southampton,25,1597,29.61165048543689,36.3013698630137,65.05643340857789,22.54098360655738,35.44564657393096,82.0,48.86363636363637,23.80952380952381,0.0,40.95680258377069,43.30212420542523
Right Defensive Midfield,3277,Yohan Cabaye,Crystal Palace,31,3010,75.72815533980582,40.23972602739725,48.08126410835214,57.377049180327866,25.759917568263784,41.99999999999999,34.090909090909086,66.66666666666667,4.651162790697675,31.20710536939847,48.882553213290045
Center Defensive Midfield,3344,Andrew Surman,AFC Bournemouth,28,3578,28.155339805825243,31.678082191780817,17.33634311512415,43.85245901639344,38.89747552807831,5.2,9.09090909090909,0.0,16.27906976744186,39.442874444893015,30.444104320889593
Left Defensive Midfield,3381,Nemanja Matić,Chelsea,33,2646,33.009708737864074,51.02739726027398,30.7900677200903,19.672131147540988,26.738794435857805,52.400000000000006,27.65151515151515,28.57142857142857,13.953488372093023,50.827614049253135,39.785295555008815
Left Defensive Midfield,3437,Francis Joseph Coquelin,Arsenal,1,1969,80.09708737864078,51.02739726027398,31.46726862302483,8.606557377049182,22.41112828438949,78.4,35.6060606060606,0.0,0.0,67.27896649172386,47.82949503731786
Left Defensive Midfield,3464,James McArthur,Crystal Palace,31,2439,39.80582524271845,59.07534246575344,42.12189616252821,29.098360655737704,3.4518289541473464,30.800000000000004,41.66666666666666,33.333333333333336,16.27906976744186,68.81308033911989,41.90388703217152
Right Defensive Midfield,3478,Francesc Fàbregas i Soler,Chelsea,33,3119,23.78640776699029,35.44520547945206,57.24604966139955,79.09836065573771,100.0,54.800000000000004,25.75757575757575,66.66666666666667,46.51162790697675,38.69600322971337,53.54880064414854
Left Defensive Midfield,3517,Aaron Ramsey,Arsenal,1,2720,25.242718446601938,68.66438356164383,60.090293453724605,48.77049180327869,57.856774858320456,46.400000000000006,54.92424242424241,76.1904761904762,30.232558139534888,43.94428744448929,52.29329559629829
Right Defensive Midfield,3600,Morgan Schneiderlin,Manchester United,39,2346,56.796116504854375,38.52739726027397,44.46952595936794,11.475409836065575,20.86553323029366,37.6,65.90909090909089,14.285714285714285,0.0,41.09810254339927,36.418061551495164
Right Defensive Midfield,3607,James McCarthy,Everton,29,2730,18.932038834951456,16.78082191780822,41.444695259593686,18.852459016393443,17.980422462648114,44.800000000000004,38.63636363636363,28.57142857142857,13.953488372093023,50.36334275333063,30.109050167733873
Left Defensive Midfield,3626,Ben Watson,Watford,23,2922,39.32038834951456,12.328767123287674,40.67720090293453,41.39344262295082,38.27923750643998,32.8,33.33333333333333,14.285714285714285,0.0,56.94388373031893,35.45466724611492
