main_position,player_id,player_name,team,team_id,minutes_played,xg_total_per90,goals_minus_xg_per90,goals_scored_per90,shot_accuracy,chances_created_per90,dribble_success_rate,dribbles_completed_per90,goal_assists_per90,penalties_won_per90,key_passes_per90,progressive_carries_rate,headed_shot_duel_rate,fouls_won_per90,progressive_carries_per90,pass_completion_rate,ball_recoveries_per90,pressures_per90,rating
Center Forward,24035,Álvaro Vázquez García,Getafe,216,2238,32.95454545454545,14.75409836065574,18.01801801801802,18.826913856480743,33.6283185840708,43.24923076923077,17.931034482758623,39.02439024390244,22.222222222222225,29.126213592233018,72.01886368740175,72.73,19.37799043062201,18.164794007490638,50.69189494493082,20.935960591133004,37.76475890040559,25.377407842315996
Right Center Forward,25134,Deyverson Brum Silva Acosta,Levante UD,221,2239,28.40909090909091,47.540983606557376,32.43243243243243,34.041873102125614,28.31858407079646,48.652307692307694,23.448275862068968,9.75609756097561,0.0,29.126213592233018,58.185492926117234,37.5,59.808612440191375,18.53932584269663,18.243434058175662,61.330049261083744,58.76520955385308,33.88870040819281
Left Center Forward,26009,Roberto Soldado Rillo,Villarreal,222,2518,10.227272727272728,44.26229508196721,15.315315315315313,48.64951254594853,35.39823008849558,61.53846153846154,28.27586206896552,85.36585365853658,16.666666666666664,21.35922330097088,61.64383561643836,42.86,46.65071770334927,24.250936329588015,49.36458627506356,30.295566502463057,29.562866155926095,34.0330713422192
Center Forward,26685,Nicolás Ladislao Fedor Flores,Rayo Vallecano,360,1677,51.13636363636363,34.42622950819672,43.24324324324324,42.28863672686592,50.44247787610621,53.21846153846154,29.310344827586203,39.02439024390244,0.0,47.57281553398059,71.88412306310352,55.559999999999995,20.095693779904302,23.501872659176033,67.09968935329005,51.724137931034484,57.68364127985579,40.54574968983085
Center Forward,27109,Youssef El-Arabi,Granada,1049,2526,45.45454545454545,57.377049180327866,51.35135135135134,52.74093015822279,25.663716814159297,71.15076923076923,45.17241379310345,7.317073170731707,16.666666666666664,26.213592233009713,50.59510442398383,61.11,32.775119617224874,25.187265917602996,49.19514261508049,52.21674876847291,56.51194231635871,43.2426589237179
Right Center Forward,27250,Nabil Ghilas,Levante UD,221,933,9.090909090909092,16.39344262295082,0.0,15.007191945021578,33.6283185840708,59.87692307692307,59.6551724137931,21.951219512195124,0.0,32.038834951456316,80.26049854030991,100.0,12.200956937799042,49.344569288389515,35.865574696413454,24.630541871921185,45.5610635421361,22.4746407737014
Center Forward,3237,Sergio Leonel Agüero del Castillo,Manchester City,36,2715,56.81818181818181,77.04918032786885,71.17117117117117,49.512545948537635,29.20353982300885,70.96615384615384,73.10344827586206,14.634146341463413,33.33333333333333,28.640776699029136,63.01369863013699,20.0,23.205741626794254,69.85018726591761,93.10929116068908,70.19704433497537,14.060387561964852,56.12618936107592
Center Forward,3265,José Luis Sanmartín Mato,Stoke City,30,937,18.18181818181818,65.57377049180327,34.234234234234236,60.22055298066166,29.20353982300885,49.23076923076923,33.10344827586207,21.951219512195124,50.0,27.184466019417485,46.799910172917144,50.0,34.92822966507176,27.52808988764045,59.75713075402428,57.389162561576356,87.24650743578188,43.01296981101873
Center Forward,3278,Benik Afobe,AFC Bournemouth,28,1125,7.954545454545453,70.49180327868852,28.82882882882883,24.532523573597572,30.08849557522124,49.23076923076923,22.06896551724138,0.0,0.0,33.00970873786408,32.113182124410514,60.0,7.894736842105261,13.576779026217231,100.0,17.733990147783253,43.57818837314105,37.63426652684146
Center Forward,3289,Romelu Lukaku Menama,Everton,29,3388,45.45454545454545,42.62295081967213,42.342342342342334,42.54435032763305,48.67256637168143,64.3323076923077,42.06896551724138,36.58536585365854,11.111111111111112,45.63106796116506,25.196496743768243,54.55,8.851674641148325,28.37078651685393,62.66591358373341,29.31034482758621,9.058134294727353,38.56252103041981
Center Forward,3318,Marcus Rashford,Manchester United,39,1034,7.954545454545453,88.52459016393442,38.73873873873874,100.0,21.68141592920354,44.44307692307692,38.96551724137931,63.41463414634146,0.0,11.165048543689322,85.35818549292613,0.0,7.655502392344496,49.15730337078652,66.81728325331827,28.078817733990142,22.75799909869311,46.700990935861164
