main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
Left Wing,3683,Tom Cleverley,Everton,29,1594,10.555555555555555,69.65709728867623,18.99441340782123,25.705329153605017,54.05844155844156,70.3482237073514,19.239904988123516,37.931034482758626,15.63388288800455,11.702127659574469,34.84848484848485,3.711133400200594,30.08595988538682
Right Wing,3726,Gerard Deulofeu Lázaro,Everton,29,1503,35.74074074074074,57.05741626794257,70.39106145251397,46.39498432601881,42.6948051948052,26.732325008793527,13.776722090261284,91.3793103448276,66.34451392836837,11.702127659574469,33.33333333333333,63.36509528585758,57.879656160458445
Right Midfield,3814,Riyad Mahrez,Leicester City,22,3390,56.29629629629629,60.785486443381174,32.402234636871505,40.43887147335423,55.519480519480524,38.586000703482235,47.74346793349169,44.827586206896555,42.7515633882888,47.87234042553192,48.484848484848484,57.49749247743229,44.69914040114613
Left Wing,3831,Dušan Tadić,Southampton,25,2546,20.74074074074074,74.56140350877192,86.03351955307262,67.08463949843261,39.772727272727266,31.51600422089342,23.27790973871734,65.51724137931035,38.71517907902217,25.53191489361702,30.303030303030305,63.214643931795386,72.49283667621776
Right Wing,3953,Aaron Lennon,Everton,29,1605,15.555555555555555,45.434609250398715,21.787709497206702,30.721003134796238,25.324675324675326,48.25888146324305,24.228028503562946,0.0,20.807276861853328,29.787234042553195,56.060606060606055,29.31293881644934,28.08022922636103
Left Wing,3958,Pedro Eliezer Rodríguez Ledesma,Chelsea,33,2268,39.25925925925925,67.12519936204147,34.63687150837988,42.31974921630094,73.37662337662337,37.07351389377418,44.418052256532064,12.06896551724138,46.50369528140989,28.723404255319153,36.36363636363637,36.28385155466399,40.97421203438395
Right Wing,3963,Victor Moses,West Ham United,40,1224,27.22222222222222,45.87320574162679,17.31843575418994,26.01880877742947,28.246753246753247,18.43123461132606,33.25415676959621,24.13793103448276,47.86810687890846,7.446808510638299,19.696969696969695,72.39217652958875,28.08022922636103
Left Wing,4317,Kevin Mirallas,Everton,29,948,32.77777777777778,61.46331738437001,23.463687150837988,35.42319749216301,54.54545454545454,34.18923672177277,37.05463182897862,31.03448275862069,38.37407617964752,39.361702127659576,40.909090909090914,29.488465396188555,37.82234957020057
Left Midfield,4416,Max-Alain Gradel,AFC Bournemouth,28,1035,27.962962962962962,36.90191387559808,26.256983240223462,15.67398119122257,62.82467532467534,49.208582483292304,43.46793349168646,29.31034482758621,36.6117111995452,8.510638297872342,22.72727272727273,66.34904714142426,19.19770773638968
Left Wing,4831,Nacer Chadli,Tottenham Hotspur,38,940,18.88888888888889,24.541467304625204,18.435754189944134,50.78369905956114,35.06493506493506,41.681322546605706,7.838479809976248,32.758620689655174,25.753268902785674,29.787234042553195,34.84848484848485,8.40020060180542,52.14899713467048
Right Wing,5581,Joel Nathaniel Campbell Samuels,Arsenal,1,1035,18.333333333333332,75.17942583732057,16.201117318435756,23.824451410658305,30.35714285714286,52.90186422792824,49.6437054631829,29.31034482758621,30.69926094371802,27.659574468085108,45.45454545454546,29.338014042126364,26.934097421203436
Right Wing,6800,Carles Gil de Pareja Vicent,Aston Villa,59,1603,34.25925925925925,65.39074960127591,21.787709497206702,32.60188087774295,41.720779220779214,41.048188533239546,31.11638954869359,8.620689655172415,56.28197839681637,11.702127659574469,37.878787878787875,29.714142427281846,31.51862464183381
Right Wing,6821,Jesús Navas González,Manchester City,36,2248,29.259259259259256,80.24322169059012,62.01117318435754,54.2319749216301,65.25974025974025,38.69152303904326,17.339667458432302,48.27586206896552,67.36782262649234,0.0,12.121212121212123,50.325977933801404,57.593123209169065
Left Midfield,6870,José Manuel Jurado Marín,Watford,23,2535,30.0,68.85964912280701,16.75977653631285,37.30407523510972,53.896103896103895,26.591628561378823,26.840855106888363,0.0,28.254690164866403,0.0,21.21212121212121,18.530591775325977,34.097421203438394
Left Wing,7063,Jefferson Antonio Montero Vite,Swansea City,26,1316,45.18518518518518,40.869218500797444,81.00558659217877,45.45454545454545,38.63636363636364,30.179387970453742,59.61995249406176,22.413793103448278,88.40250142126209,0.0,10.606060606060606,100.0,45.27220630372493
Right Midfield,7171,Fabio Borini,Sunderland,41,2075,9.444444444444445,33.03429027113238,13.966480446927374,14.420062695924765,34.57792207792208,41.751670770313055,43.23040380047506,13.793103448275865,16.486640136441157,22.340425531914896,30.303030303030305,34.47843530591775,15.472779369627506
