main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating,rating_normalizado,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate
Left Back,7118,Federico Peluso,Sassuolo,232,3182,,,,,,,43.81800197823939,30.085225823289306,55.57671188290848,52.75195239866122,35.12396694214875,38.63636363636364,35.940740740740736,31.528662420382176,20.54263565891473,32.53644314868804,26.94610778443114,36.44444444444444,49.31972789115647,6.0606060606060606,8.333333333333334,,,,,,,,,,,,,,,,,
Right Back,7142,Luca Rossettini,Bologna,240,2626,,,,,,,47.80745136828223,30.068709993928334,55.561849278143974,57.84678319077725,39.669421487603294,57.38636363636363,65.18518518518519,30.732484076433124,6.5891472868217065,29.79591836734693,5.988023952095809,39.11111111111111,46.93877551020408,30.303030303030305,12.5,,,,,,,,,,,,,,,,,
Left Back,7151,Mário Rui Silva Duarte,Empoli,290,3378,,,,,,,64.62248598747118,34.6064674500231,59.64537993912727,58.44179992562292,36.77685950413222,43.75,58.16296296296296,24.416135881104033,32.55813953488372,53.06122448979591,10.778443113772456,36.00000000000001,31.63265306122449,0.0,20.833333333333336,,,,,,,,,,,,,,,,,
Right Back,7155,Vincent Laurini,Empoli,290,2250,,,,,,,76.722716782064,22.327518066587945,48.59554601189231,39.8475269616958,14.049586776859503,36.36363636363637,59.25925925925925,24.46921443736731,5.426356589147288,29.037900874635564,2.3952095808383236,15.555555555555555,25.850340136054424,12.121212121212121,0.0,,,,,,,,,,,,,,,,,
Right Back,7164,Ibrahima Mbaye,Bologna,240,1027,,,,,,,55.68743818001979,39.56296075732908,64.10573124418823,60.84046113796951,56.19834710743801,30.113636363636363,56.785185185185185,66.71974522292994,4.263565891472869,47.5801749271137,20.958083832335326,58.666666666666664,54.08163265306123,0.0,0.0,,,,,,,,,,,,,,,,,
Left Back,7169,Adam Masina,Bologna,240,2813,,,,,,,44.18067919551601,40.140067242900585,64.62506971727439,65.99107474897733,41.73553719008264,35.22727272727273,53.940740740740736,51.27388535031847,28.294573643410853,36.67638483965013,26.34730538922156,40.0,33.6734693877551,18.18181818181818,37.5,,,,,,,,,,,,,,,,,
Right Back,7462,Aleandro Rosi,Frosinone,291,2252,,,,,,,38.64160896801846,28.722600918411654,54.350484912356364,46.336928226106366,25.206611570247933,24.431818181818183,41.7037037037037,46.65605095541402,15.891472868217052,31.778425655976672,40.11976047904192,25.77777777777778,84.01360544217687,0.0,0.0,,,,,,,,,,,,,,,,,
Right Back,7463,Ignazio Abate,AC Milan,243,2531,,,,,,,52.75304978569074,42.07327173767924,66.36476160357746,64.20602454444033,65.28925619834709,29.545454545454547,46.6962962962963,42.56900212314225,23.64341085271318,50.37900874635568,31.736526946107784,67.55555555555556,45.23809523809524,9.09090909090909,12.5,,,,,,,,,,,,,,,,,
Right Wing Back,7464,Cristian Daniel Ansaldi,Genoa,233,2152,,,,,,,34.948895483020145,48.091657373386255,71.78071045294183,48.531052435849766,58.26446280991734,35.79545454545455,60.31111111111112,67.03821656050954,34.883720930232556,56.61807580174926,39.52095808383234,55.55555555555556,51.36054421768708,0.0,66.66666666666667,,,,,,,,,,,,,,,,,
Right Wing Back,7473,Lorenzo De Silvestri,Sampdoria,234,1593,,,,,,,17.177711836465573,29.606432216931225,55.14584522889197,47.00632205280774,3.71900826446281,33.52272727272727,97.34814814814814,23.354564755838645,25.968992248062012,28.396501457725943,37.125748502994014,6.222222222222222,57.82312925170069,15.151515151515152,45.833333333333336,,,,,,,,,,,,,,,,,
