main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,rating
Goalkeeper,25144,Diego Alves Carreira,Valencia,207,1209,67.91808873720136,47.2032193158954,51.06382978723405,9.844559585492227,0.0,7.044198895027624,59.277214631996465,42.82730676147723
Goalkeeper,26070,Antonio Rodríguez Martínez,Rayo Vallecano,360,928,36.51877133105801,40.48289738430586,93.61702127659575,79.79274611398964,33.33,15.331491712707185,75.65006610841782,65.23018738088216
Goalkeeper,26103,Idriss Carlos Kameni,Málaga,223,2607,40.9556313993174,78.79275653923543,78.72340425531915,50.25906735751297,50.0,40.19337016574586,59.85015425297489,68.50374882516145
Goalkeeper,26753,Javier Varas Herrera,Las Palmas,208,2886,56.99658703071672,55.5734406438632,72.3404255319149,62.176165803108816,0.0,57.73480662983427,52.952842661965626,60.5537501049024
Goalkeeper,27305,Germán Darío Lux,RC Deportivo La Coruña,219,2699,40.2730375426621,39.27565392354128,50.000000000000014,49.74093264248706,25.0,37.983425414364646,31.22520934332305,43.47997861801501
Goalkeeper,3096,Rob Elliot,Newcastle United,37,1976,42.32081911262798,15.251509054325957,23.404255319148945,27.46113989637306,0.0,23.895027624309392,36.535918907007485,22.61225571706845
Goalkeeper,3099,Hugo Lloris,Tottenham Hotspur,38,3470,30.03412969283276,61.89134808853118,71.27659574468086,33.678756476683944,0.0,33.011049723756905,63.596297928602915,56.199500302047824
Goalkeeper,3262,Łukasz Fabiański,Swansea City,26,3481,60.40955631399317,60.16096579476864,53.19148936170214,23.834196891191716,0.0,53.03867403314918,54.64962538563244,50.675287739572255
Goalkeeper,3291,Joe Hart,Manchester City,36,3277,22.184300341296925,43.13883299798793,72.3404255319149,17.098445595854923,0.0,46.40883977900553,45.35037461436755,50.223776759991004
Goalkeeper,3333,David de Gea Quintana,Manchester United,39,3190,32.76450511945392,60.603621730382315,70.21276595744682,7.772020725388602,0.0,16.022099447513813,51.696782723666814,51.81806699762055
Goalkeeper,3339,Asmir Begović,Chelsea,33,1415,81.91126279863481,54.647887323943664,32.97872340425532,20.725388601036272,0.0,3.1767955801104977,35.52225650066107,37.390050626311094
Goalkeeper,3461,Petr Čech,Arsenal,1,3187,50.17064846416381,82.97786720321936,74.468085106383,34.19689119170985,0.0,34.66850828729282,55.24460114587924,64.08333662404905
Goalkeeper,3488,Wayne Hennessey,Crystal Palace,31,2726,45.05119453924914,49.61770623742455,59.57446808510638,11.917098445595856,0.0,9.25414364640884,25.0991626267078,43.945216374205785
Goalkeeper,3509,Thibaut Courtois,Chelsea,33,2174,47.098976109215016,54.20523138832999,58.51063829787234,20.207253886010363,50.0,24.309392265193374,42.816218598501536,49.93031172313472
Goalkeeper,3522,Heurelho da Silva Gomes,Watford,23,3577,62.11604095563139,61.69014084507043,59.57446808510638,31.088082901554408,42.86,81.9060773480663,31.57778757161745,57.596838616412604
Goalkeeper,3537,Jack Butland,Stoke City,30,2910,57.337883959044355,60.72434607645878,61.702127659574465,17.098445595854923,0.0,19.751381215469614,34.83913618334068,50.210525891378545
Goalkeeper,3539,Simon Mignolet,Liverpool,24,3201,20.819112627986343,22.374245472837035,41.48936170212767,20.725388601036272,33.33,27.900552486187852,59.475539885412076,33.0751961145249
Goalkeeper,3623,Adrián San Miguel del Castillo,West Ham United,40,3016,55.631399317406135,62.293762575452746,73.40425531914894,36.26943005181348,28.57,33.83977900552487,39.136183340678706,59.58610394964126
