main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
Right Center Back,6727,Raúl Albentosa Redal,Málaga,223,2514,50.0,31.443298969072163,50.649350649350644,62.81438049683691,41.216216216216225,34.81481481481481,32.58426966292134,37.68115942028986,54.95588998443175,48.526557261337565,26.923076923076927,31.11111111111111
Left Center Back,6752,Víctor Ruíz Torre,Villarreal,222,2986,48.83764529433821,17.010309278350512,71.86147186147186,80.82086097824408,39.752252252252255,46.29629629629629,16.853932584269664,16.908212560386477,41.9823559937727,46.3208046585495,0.0,0.0
Right Center Back,6762,Álvaro González Soberón,Espanyol,214,3351,70.8286464191976,31.443298969072163,29.870129870129876,58.71007560561641,46.396396396396405,38.148148148148145,31.460674157303377,26.570048309178745,50.75246497145821,64.70795835539086,0.0,32.22222222222222
Left Center Back,6777,Sidnei Rechel da Silva Júnior,RC Deportivo La Coruña,219,3067,72.90963629546306,46.39175257731958,70.12987012987011,79.55562413207838,42.56756756756758,22.96296296296296,48.87640449438202,21.73913043478261,33.16035288012454,71.23698605964356,0.0,15.555555555555555
Left Center Back,6778,Iván Ramis Barrios,Eibar,322,1949,62.50468691413573,11.34020618556701,46.32034632034631,75.79077302885358,43.693693693693696,21.48148148148148,12.359550561797754,15.458937198067634,28.90503373118837,64.70795835539086,0.0,20.0
Right Center Back,6788,Xabier Etxeita Gorritxategi,Athletic Club,215,2601,37.49531308586426,30.412371134020617,27.705627705627705,28.282672427094578,32.770270270270274,54.8148148148148,29.213483146067414,31.40096618357488,34.40581214322781,33.33333333333333,0.0,18.88888888888889
Right Center Back,6794,Gustavo Daniel Cabral Cáceres,Celta Vigo,209,2892,54.96812898387701,70.61855670103093,46.32034632034631,46.551458108316616,37.274774774774784,41.481481481481474,68.53932584269663,53.623188405797094,28.074727555786193,46.991353449797074,0.0,10.0
Left Center Back,6804,Sergi Gómez Solà,Celta Vigo,209,2699,53.74953130858643,40.72164948453608,67.0995670995671,65.37571362444066,38.513513513513516,48.51851851851852,40.44943820224719,31.88405797101449,28.59366891541255,49.4088583024528,0.0,14.444444444444446
Left Center Back,6825,Daniel Filipe Martins Carriço,Sevilla,213,1027,52.08098987626547,37.113402061855666,38.095238095238095,51.42724888134546,53.490990990990994,55.18518518518517,40.44943820224719,27.536231884057973,25.63570316554229,54.89677077818952,30.76923076923077,8.88888888888889
Right Center Back,6827,Daniele Bonera,Villarreal,222,926,15.635545556805406,12.371134020618555,29.870129870129876,56.565344854189156,21.62162162162162,45.18518518518518,13.48314606741573,12.077294685990339,37.363777893098074,20.592906299629433,0.0,10.0
Right Center Back,6837,Mauro Javier Dos Santos,Eibar,322,2793,60.08623922009748,43.81443298969072,42.42424242424242,63.60129609628144,43.58108108108109,29.629629629629626,47.75280898876405,40.09661835748793,38.4016606123508,62.431621669313564,0.0,10.0
Left Center Back,6861,Juan Torres Ruiz,Getafe,216,1956,63.76077990251219,65.4639175257732,67.96536796536796,81.09859589569511,40.878378378378386,43.7037037037037,66.29213483146067,24.637681159420293,38.03840166061235,58.70831127580731,15.384615384615385,20.0
