player_id,player,ultimo_equipo,ultimo_team_id,competicion
8943,Florian Niederlechner,FSV Mainz 05,177,Germany - 1. Bundesliga
8947,Ron-Robert Zieler,Hannover 96,178,Germany - 1. Bundesliga
8956,Timo Baumgartl,VfB Stuttgart,174,Germany - 1. Bundesliga
8958,Dennis Aogo,Schalke 04,181,Germany - 1. Bundesliga
8959,Christian Gentner,VfB Stuttgart,174,Germany - 1. Bundesliga
8965,Fabian Lustenberger,Hertha Berlin,173,Germany - 1. Bundesliga
8969,Lars Bender,Bayer Leverkusen,904,Germany - 1. Bundesliga
9082,Przemysław Tytoń,VfB Stuttgart,174,Germany - 1. Bundesliga
9088,Danilo Teodoro Soares,Ingolstadt,189,Germany - 1. Bundesliga
9097,Sidney Sam,Schalke 04,181,Germany - 1. Bundesliga
9098,Christian Clemens,FSV Mainz 05,177,Germany - 1. Bundesliga
9103,Lukas Hinterseer,Ingolstadt,189,Germany - 1. Bundesliga
9106,Marvin Matip,Ingolstadt,189,Germany - 1. Bundesliga
9134,Aleksandar Ignjovski,Eintracht Frankfurt,184,Germany - 1. Bundesliga
9140,Luca-Milan Zander,Werder Bremen,176,Germany - 1. Bundesliga
9148,Johannes Flum,Eintracht Frankfurt,184,Germany - 1. Bundesliga
9174,Marvin Friedrich,Schalke 04,181,Germany - 1. Bundesliga
9178,Felix Kroos,Werder Bremen,176,Germany - 1. Bundesliga
9216,Slobodan Medojević,Eintracht Frankfurt,184,Germany - 1. Bundesliga
9217,Aytac Sulu,Darmstadt 98,872,Germany - 1. Bundesliga
9219,Tobias Kempe,Darmstadt 98,872,Germany - 1. Bundesliga
9222,Fabian Holland,Darmstadt 98,872,Germany - 1. Bundesliga
9224,Sandro Sirigu,Darmstadt 98,872,Germany - 1. Bundesliga
9257,Lukas Fröde,Werder Bremen,176,Germany - 1. Bundesliga
9262,Philip Heise,VfB Stuttgart,174,Germany - 1. Bundesliga
9363,André Ramalho Silva,Bayer Leverkusen,904,Germany - 1. Bundesliga
9396,Ermin Bičakčić,Hoffenheim,175,Germany - 1. Bundesliga
9397,Pavel Kadeřábek,Hoffenheim,175,Germany - 1. Bundesliga
9398,Nico Schulz,Borussia Mönchengladbach,185,Germany - 1. Bundesliga
9399,Javier Martínez Aginaga,Bayern Munich,169,Germany - 1. Bundesliga
