,competition,date,match,team,pos,pos_role,player,match_id,original_rating
1426,World Cup 2018,2018-06-19,"Poland - Senegal, 1 - 2",Senegal,Sub,Sub,Cheikh N''Doye,7539,6.29
1428,World Cup 2018,2018-06-19,"Poland - Senegal, 1 - 2",Senegal,Sub,Sub,Pape Moussa Konaté,7539,6.01
1430,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,DF,DC,Ahmed Elsayed Ali Elsayed Hegazy,7540,6.3525
1433,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,DF,DC,Ali Gabr,7540,5.925
1436,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,DF,DL,Mohamed Salah,7540,5.76
1439,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,DF,DR,Mohamed Salah,7540,5.4325
1442,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,FW,FW,Marwan Mohsen,7540,6.1325
1445,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,GK,GK,Mohamed Naser Elsayed Elneny,7540,5.6975
1447,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,MF,AMC,Abdalla Mahmoud El Said Bekhit,7540,6.0
1450,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,MF,AML,Tarek Hamed,7540,5.863333333333333
1453,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,MF,AMR,Mohamed Salah,7540,6.109999999999999
1455,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,MF,DMC,Mohamed Naser Elsayed Elneny,7540,5.8375
1458,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,MF,DMC,Tarek Hamed,7540,6.12
1461,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,Sub,Sub,Amr Medhat Warda,7540,6.21
1464,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,Sub,Sub,Mohamed Salah,7540,6.12
1467,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Egypt,Sub,Sub,Ramadan Sobhi Ramadan Ahmed,7540,6.115
1470,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,DF,DC,Ilya Kutepov,7540,6.16
1474,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,DF,DC,Sergei Ignashevich,7540,5.7125
1478,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,DF,DL,Yuri Zhirkov,7540,5.7675
1481,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,DF,DR,Mário Figueira Fernandes,7540,6.09
1485,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,FW,FW,Artem Dzyuba,7540,6.365
1489,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,GK,GK,Igor Akinfeev,7540,5.51
1493,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,MF,AMC,Aleksandr Golovin,7540,5.855
1496,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,MF,AML,Denis Cheryshev,7540,6.375
1500,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,MF,AMR,Aleksandr Samedov,7540,6.4125
1504,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,MF,DMC,Roman Zobnin,7540,6.345
1508,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,MF,DMC,Yury Gazinskiy,7540,5.859999999999999
1511,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,Sub,Sub,Daler Kuzyaev,7540,6.17
1515,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,Sub,Sub,Fedor Kudryashov,7540,6.07
1518,World Cup 2018,2018-06-19,"Russia - Egypt, 3 - 1",Russia,Sub,Sub,Fyodor Smolov,7540,6.005
1522,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,DF,DC,Morteza Pouraliganji,7543,5.36
1525,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,DF,DC,Seyed Majid Hosseini,7543,5.4175
1528,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,DF,DL,Ehsan Hajsafi,7543,5.797499999999999
1531,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,DF,DR,Ramin Rezaeian,7543,6.6575
1534,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,FW,FW,Sardar Azmoun,7543,6.145
1537,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,GK,GK,Alireza Safar Beiranvand,7543,5.445
1540,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,MF,DMC,Saeid Ezatolahi Afagh,7543,6.2
1542,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,MF,MC,Omid Ebrahimi,7543,6.0425
1545,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,MF,MC,Vahid Amiri,7543,6.0425
1548,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,MF,ML,Karim Ansarifard,7543,5.9
1551,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,MF,MR,Mehdi Taremi,7543,6.125
1554,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,Sub,Sub,Alireza Jahanbakhsh,7543,5.0649999999999995
1557,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Iran,Sub,Sub,Milad Mohammadi,7543,5.8100000000000005
1559,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,DF,DC,Gerard Piqué Bernabéu,7543,6.49
1563,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,DF,DC,Sergio Ramos García,7543,6.355
1567,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,DF,DL,Jordi Alba Ramos,7543,6.1575
1571,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,DF,DR,Daniel Carvajal Ramos,7543,6.2925
1574,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,FW,FW,Diego da Silva Costa,7543,6.255
1578,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,GK,GK,David de Gea Quintana,7543,5.6925
1582,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,MF,DMC,Sergio Busquets i Burgos,7543,6.6575
1586,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,MF,MC,Andrés Iniesta Luján,7543,5.96
1590,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,MF,MC,David Josué Jiménez Silva,7543,6.155
1593,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,MF,ML,Lucas Vázquez Iglesias,7543,6.71
1597,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,MF,MR,Lucas Vázquez Iglesias,7543,6.1975
1599,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,Sub,Sub,Sergio Ramos García,7543,5.08
1602,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,Sub,Sub,Marco Asensio Willemsen,7543,5.045
1605,World Cup 2018,2018-06-20,"Iran - Spain, 0 - 1",Spain,Sub,Sub,Rodrigo Moreno Machado,7543,6.04
1608,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,DF,DC,Manuel Marouan da Costa Trinidade,7542,5.865
1611,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,DF,DC,Medhi Amine El Mouttaqi Benatia,7542,4.855
1613,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,DF,DL,Achraf Hakimi Mouh,7542,5.78
1616,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,DF,DR,Nabil Dirar,7542,6.07
1618,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,FW,FW,Khalid Boutaïb,7542,5.395
1620,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,GK,GK,Munir Mohand Mohamedi,7542,5.2325
1623,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,MF,AMC,Younès Belhanda,7542,6.0175
1626,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,MF,AML,Hakim Ziyech,7542,5.9425
1629,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,MF,AMR,Nordin Amrabat,7542,5.8175
1631,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,MF,DMC,Karim El Ahmadi Al Aroos,7542,5.665
1634,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,MF,DMC,Mbark Boussoufa,7542,6.0600000000000005
1637,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,Sub,Sub,Ayoub El Kaabi,7542,6.07
1639,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,Sub,Sub,Fayçal Fajr,7542,5.99
1641,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Morocco,Sub,Sub,Mehdi Carcela-González,7542,6.04
1642,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,DF,DC,José Miguel da Rocha Fonte,7542,6.2524999999999995
1646,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,DF,DC,Kléper Laveran Lima Ferreira,7542,5.9775
1650,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,DF,DL,Raphaël Adelino José Guerreiro,7542,6.0975
1654,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,DF,DR,Cédric Ricardo Alves Soares,7542,6.225
1657,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,FW,FW,Cristiano Ronaldo dos Santos Aveiro,7542,6.34
1661,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,FW,FW,Gonçalo Manuel Ganchinho Guedes,7542,6.075
1665,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,GK,GK,Rui Pedro dos Santos Patrício,7542,6.5075
1669,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,MF,MC,João Filipe Iria Santos Moutinho,7542,6.6
1672,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,MF,MC,William Silva de Carvalho,7542,6.1
1676,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,MF,ML,Gelson Dany Batalha Martins,7542,5.805
1680,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,MF,MR,Bernardo Mota Veiga de Carvalho e Silva,7542,5.905
1681,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,Sub,Sub,André Miguel Valente Silva,7542,5.96
1682,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,Sub,Sub,Bruno Miguel Borges Fernandes,7542,5.98
1684,World Cup 2018,2018-06-20,"Portugal - Morocco, 1 - 0",Portugal,Sub,Sub,Gelson Dany Batalha Martins,7542,5.766666666666667
1685,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,DF,DC,Ali Albulayhi,7544,5.9
1686,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,DF,DC,Osama Abdulrezag Hawsawi,7544,5.76
1689,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,DF,DL,Yasir Gharsan Al Shahrani,7544,5.48
1692,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,DF,DR,Mohammed Al Burayk,7544,5.8075
1695,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,FW,FW,Fahad Mosaed Al Muwallad Al Harbi,7544,5.7225
1697,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,GK,GK,Mohammed Khalil Al Owais,7544,5.8075
1698,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,MF,AMC,Salman Mohammed Al Faraj,7544,5.825
1701,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,MF,AML,Salem Mohammed Al Dawsari,7544,6.0425
1704,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,MF,AMR,Hattan Babhir,7544,5.785
1707,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,MF,DMC,Abdullah Ibrahim Otayf,7544,6.165
1710,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,MF,DMC,Taisir Jabir Al Jassim,7544,5.615
1712,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,Sub,Sub,Hussain Al Mogahwi,7544,5.2
1714,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,Sub,Sub,Mohammed Kanoo,7544,6.15
1715,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Saudi Arabia,Sub,Sub,Mohammed Khalil Al Owais,7544,5.9350000000000005
1717,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,DF,DC,Diego Roberto Godín Leal,7544,5.9125
1722,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,DF,DC,José María Giménez de Vargas,7544,5.995
1726,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,DF,DL,José Martín Cáceres Silva,7544,6.0
1731,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,DF,DR,Guillermo Varela Olivera,7544,5.8025
1733,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,FW,FW,Edinson Roberto Cavani Gómez,7544,6.4425
1737,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,FW,FW,Luis Alberto Suárez Díaz,7544,6.26
1742,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,GK,GK,Néstor Fernando Muslera Micol,7544,6.0575
1747,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,MF,MC,Matías Vecino Falero,7544,5.890000000000001
1752,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,MF,MC,Rodrigo Bentancur Colmán,7544,5.8575
1757,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,MF,ML,Cristian Gabriel Rodríguez Barrotti,7544,6.1075
1762,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,MF,MR,Carlos Andrés Sánchez Arcosa,7544,5.9175
1765,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,Sub,Sub,Diego Sebastián Laxalt Suárez,7544,5.223333333333334
1769,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,Sub,Sub,Lucas Torreira Di Pascua,7544,5.3933333333333335
1774,World Cup 2018,2018-06-20,"Uruguay - Saudi Arabia, 1 - 0",Uruguay,Sub,Sub,Nahitan Michel Nández Acosta,7544,6.39
1779,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,DF,DC,Gabriel Iván Mercado,7545,5.97
1782,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,DF,DC,Nicolás Hernán Otamendi,7545,5.915
1786,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,DF,DC,Nicolás Alejandro Tagliafico,7545,6.1325
1790,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,FW,FW,Sergio Leonel Agüero del Castillo,7545,5.577500000000001
1793,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,GK,GK,Wilfredo Daniel Caballero,7545,4.95
1795,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,MF,AMC,Lionel Andrés Messi Cuccittini,7545,6.02
1799,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,MF,AMC,Maximiliano Eduardo Meza,7545,6.2475000000000005
1803,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,MF,DML,Marcos Javier Acuña,7545,6.03
1804,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,MF,DMR,Eduardo Antonio Salvio,7545,5.8
1806,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,MF,MC,Enzo Nicolás Pérez,7545,5.835
1809,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,MF,MC,Javier Alejandro Mascherano,7545,5.422499999999999
1813,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,Sub,Sub,Cristian David Pavón,7545,5.423333333333333
1817,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,Sub,Sub,Gonzalo Gerardo Higuaín,7545,5.34
1820,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Argentina,Sub,Sub,Paulo Bruno Exequiel Dybala,7545,5.9
1821,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,DF,DC,Dejan Lovren,7545,6.0925
1827,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,DF,DC,Domagoj Vida,7545,5.7524999999999995
1832,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,DF,DL,Ivan Strinić,7545,5.635
1837,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,DF,DR,Šime Vrsaljko,7545,6.37
1842,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,FW,FW,Mario Mandžukić,7545,5.8100000000000005
1847,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,GK,GK,Danijel Subašić,7545,5.8975
1852,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,MF,DMC,Marcelo Brozović,7545,6.0825
1857,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,MF,MC,Ivan Rakitić,7545,7.13
1863,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,MF,MC,Luka Modrić,7545,6.9625
1869,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,MF,ML,Ivan Perišić,7545,5.64
1875,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,MF,MR,Ante Rebić,7545,5.78
1880,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,Sub,Sub,Andrej Kramarić,7545,5.616666666666667
1886,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,Sub,Sub,Mateo Kovačić,7545,6.525
1890,World Cup 2018,2018-06-21,"Argentina - Croatia, 0 - 3",Croatia,Sub,Sub,Luka Modrić,7545,5.93
1893,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,DF,DC,Mark Milligan,7547,6.2875
1896,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,DF,DC,Trent Sainsbury,7547,6.09
1899,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,DF,DL,Aziz Eraltay Behich,7547,6.115
1902,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,DF,DR,Josh Risdon,7547,6.2825
1905,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,FW,FW,Andrew Nabbout,7547,5.9350000000000005
1907,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,GK,GK,Mathew Ryan,7547,5.8225
1910,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,MF,AMC,Tom Rogić,7547,6.2375
1913,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,MF,MC,Aaron Mooy,7547,7.0600000000000005
1916,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,MF,MC,Mile Jedinak,7547,6.305
1919,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,MF,ML,Robbie Kruse,7547,5.7425
1922,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,MF,MR,Mathew Leckie,7547,5.95
1925,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,Sub,Sub,Daniel Arzani,7547,6.835
1928,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,Sub,Sub,Jackson Irvine,7547,6.37
1931,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Australia,Sub,Sub,Tomi Jurić,7547,6.005
1934,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,DF,DC,Andreas Christensen,7547,5.76
1938,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,DF,DC,Simon Thorup Kjær,7547,6.047499999999999
1942,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,DF,DL,Jens Stryger Larsen,7547,5.805
1945,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,DF,DR,Henrik Dalsgaard,7547,6.4475
1949,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,FW,FW,Nicolai Jørgensen,7547,5.835
1952,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,GK,GK,Kasper Schmeichel,7547,6.1325
1956,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,MF,AMC,Christian Dannemann Eriksen,7547,6.4775
1960,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,MF,AML,Pione Sisto Ifolo Emirmija,7547,6.0725
1964,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,MF,AMR,Yussuf Yurary Poulsen,7547,5.55
1967,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,MF,DMC,Lasse Schöne,7547,5.8025
1970,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,MF,DMC,Thomas Delaney,7547,5.7675
1974,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,Sub,Sub,Andreas Evald Cornelius,7547,5.865
1977,World Cup 2018,2018-06-21,"Denmark - Australia, 1 - 1",Denmark,Sub,Sub,Martin Braithwaite Christensen,7547,5.260000000000001
1981,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,DF,DC,Raphaël Varane,7546,6.0649999999999995
1988,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,DF,DC,Samuel Yves Umtiti,7546,6.555
1994,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,DF,DL,Lucas Hernández Pi,7546,6.47
2001,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,DF,DR,Benjamin Pavard,7546,5.9725
2007,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,FW,FW,Olivier Giroud,7546,6.1274999999999995
2014,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,GK,GK,Hugo Lloris,7546,5.95
2020,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,MF,AMC,Antoine Griezmann,7546,6.0125
2027,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,MF,AML,Blaise Matuidi,7546,5.675
2032,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,MF,AMR,Kylian Mbappé Lottin,7546,6.2975
2039,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,MF,DMC,N''Golo Kanté,7546,6.220000000000001
2046,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,MF,DMC,Paul Pogba,7546,6.7
2052,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,Sub,Sub,Nabil Fekir,7546,5.5600000000000005
2058,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",France,Sub,Sub,Ousmane Dembélé,7546,5.695
2062,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,DF,DC,Alberto Junior Rodríguez Valdelomar,7546,5.755
2064,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,DF,DC,Christian Guillermo Martín Ramos Garagay,7546,5.5175
2067,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,DF,DL,Miguel Ángel Trauco Saavedra,7546,6.1175
2070,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,DF,DR,Luis Jan Piers Advíncula Castrillón,7546,6.41
2073,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,FW,FW,José Paolo Guerrero Gonzáles,7546,6.055
2076,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,GK,GK,Pedro David Gallese Quiróz,7546,5.859999999999999
2079,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,MF,AMC,Christian Alberto Cueva Bravo,7546,5.6075
2082,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,MF,AML,Anderson Santamaría Bardales,7546,5.6775
2085,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,MF,AMR,André Martín Carrillo Díaz,7546,5.9175
2088,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,MF,DMC,Pedro Jesús Aquino Sánchez,7546,6.335
2091,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,MF,DMC,Víctor Yoshimar Yotún Flores,7546,5.715
2094,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,Sub,Sub,Anderson Santamaría Bardales,7546,5.09
2096,World Cup 2018,2018-06-21,"France - Peru, 1 - 0",Peru,Sub,Sub,Jefferson Agustín Farfán Guadalupe,7546,5.843333333333334
2098,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,DF,DC,João Miranda de Souza Filho,7548,5.9675
2103,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,DF,DC,Thiago Emiliano da Silva,7548,6.23
2108,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,DF,DL,Marcos Aoás Corrêa,7548,6.0925
2112,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,DF,DR,Fágner Conserva Lemos,7548,5.9475
2116,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,FW,FW,Gabriel Fernando de Jesus,7548,6.01
2121,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,FW,FWL,Neymar da Silva Santos Junior,7548,6.225
2126,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,FW,FWR,Willian Borges da Silva,7548,5.6850000000000005
2131,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,GK,GK,Alisson Ramsés Becker,7548,5.6675
2136,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,MF,MC,Carlos Henrique Casimiro,7548,6.279999999999999
2140,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,MF,MC,Philippe Coutinho Correia,7548,6.2225
2145,World Cup 2018,2018-06-22,"Brazil - Costa Rica, 2 - 0",Brazil,MF,MC,Philippe Coutinho Correia,7548,6.645
