,avg_rating,player,score,revisar,player_id,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
412,5.82,N''Golo Kanté,88.0,False,3961.0,France,771.0,"['Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Midfield']",7.0
413,5.98125,Nabil Dirar,100.0,False,5727.0,Morocco,788.0,['Right Back'],2.0
414,5.947272727272727,Nabil Fekir,100.0,False,2948.0,France,771.0,"['Center Attacking Midfield', 'Right Wing Back', 'Left Wing', 'Right Midfield']",6.0
415,5.715,Nacer Chadli,100.0,False,4831.0,Belgium,782.0,"['Right Midfield', 'Left Center Midfield', 'Left Wing Back', 'Right Back']",6.0
417,5.880909090909091,Naïm Sliti,90.0,False,3557.0,Tunisia,777.0,"['Left Midfield', 'Right Center Midfield']",3.0
418,5.777058823529411,Nahitan Michel Nández Acosta,61.904761904761905,True,5247.0,Uruguay,783.0,"['Right Wing', 'Right Center Midfield', 'Right Midfield']",5.0
419,6.115833333333334,Nemanja Matić,92.3076923076923,False,3381.0,Serbia,786.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield']",3.0
420,6.135,Nemanja Radonjić,93.75,False,5833.0,Serbia,786.0,['Left Wing'],2.0
421,6.3235,Neymar da Silva Santos Junior,34.285714285714285,True,4320.0,Brazil,781.0,"['Left Wing', 'Right Center Forward', 'Center Forward']",5.0
422,5.579,Nicolai Jørgensen,94.11764705882352,False,5522.0,Denmark,776.0,['Center Forward'],3.0
423,5.9075,Nicolás Hernán Otamendi,76.92307692307692,True,3090.0,Argentina,779.0,"['Right Center Back', 'Left Center Back', 'Center Back']",4.0
424,5.745,Nicolás Alejandro Tagliafico,73.91304347826086,True,5507.0,Argentina,779.0,"['Left Back', 'Left Center Back']",4.0
425,5.7425,Niklas Süle,90.9090909090909,False,6322.0,Germany,770.0,['Right Center Back'],1.0
426,5.985833333333333,Nikola Milenković,94.11764705882352,False,5603.0,Serbia,786.0,['Right Center Back'],3.0
427,5.855,Nordin Amrabat,100.0,False,3302.0,Morocco,788.0,"['Right Wing', 'Left Wing', 'Right Midfield', 'Right Center Midfield', 'Right Back']",3.0
428,5.73875,Odion Jude Ighalo,82.75862068965517,True,5458.0,Nigeria,775.0,"['Left Center Forward', 'Right Center Forward', 'Center Forward']",3.0
429,6.2625,Oghenekaro Etebo,100.0,False,5466.0,Nigeria,775.0,"['Left Center Midfield', 'Left Midfield']",3.0
430,6.026999999999999,Ola Toivonen,100.0,False,4417.0,Sweden,790.0,"['Left Center Forward', 'Right Center Forward']",5.0
431,5.990384615384615,Olivier Giroud,100.0,False,3604.0,France,771.0,"['Center Forward', 'Left Center Forward']",7.0
432,5.13,Osama Abdulrezag Hawsawi,61.111111111111114,True,5184.0,Saudi Arabia,799.0,['Right Center Back'],3.0
433,5.944545454545454,Omid Ebrahimi,100.0,False,5225.0,Iran,797.0,"['Right Center Midfield', 'Center Defensive Midfield']",3.0
434,5.94,Oribe Peralta Morones,76.47058823529412,True,6316.0,Mexico,794.0,['Right Center Forward'],1.0
435,5.6816666666666675,Osama Abdulrezag Hawsawi,70.27027027027026,True,5184.0,Saudi Arabia,799.0,['Right Center Back'],3.0
436,5.805,Óscar Esau Duarte Gaitán,61.111111111111114,True,5598.0,Costa Rica,795.0,"['Left Center Back', 'Right Center Back']",2.0
437,6.025,Oscar Hiljemark,100.0,False,5605.0,Sweden,790.0,['Left Center Midfield'],2.0
438,6.0425,Oscar Fabián Murillo Murillo,63.41463414634146,True,5680.0,Colombia,769.0,['Left Center Back'],1.0
439,5.797272727272727,Ousmane Dembélé,86.66666666666667,False,5477.0,France,771.0,"['Right Wing', 'Left Wing']",4.0
440,6.355,Oussama Haddadi,100.0,False,3252.0,Tunisia,777.0,['Left Back'],1.0
441,6.181111111111111,José Paolo Guerrero Gonzáles,66.66666666666667,True,5535.0,Peru,784.0,"['Center Forward', 'Left Wing']",3.0
442,6.255,Christopher Paolo César Hurtado Huertas,50.0,True,6315.0,Peru,784.0,['Right Defensive Midfield'],1.0
443,6.343333333333334,Joo-Ho Park,100.0,False,5609.0,South Korea,791.0,['Left Back'],1.0
444,6.23125,Paul Pogba,100.0,False,20004.0,France,771.0,"['Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield']",6.0
446,5.9,Paulo Bruno Exequiel Dybala,61.53846153846154,True,5743.0,Argentina,779.0,"['Right Midfield', 'Right Defensive Midfield']",1.0
447,5.97375,Pedro Jesús Aquino Sánchez,63.1578947368421,True,5526.0,Peru,784.0,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",3.0
448,5.8475,Pedro David Gallese Quiróz,66.66666666666667,True,5528.0,Peru,784.0,['Goalkeeper'],3.0
450,5.8075,Phil Jones,100.0,False,3314.0,England,768.0,['Right Center Back'],2.0
451,6.2105,Philippe Coutinho Correia,80.95238095238095,True,3501.0,Brazil,781.0,"['Left Center Midfield', 'Left Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Wing']",5.0
452,6.020714285714285,Pione Sisto Ifolo Emirmija,59.45945945945945,True,5516.0,Denmark,776.0,"['Left Wing', 'Left Midfield']",4.0
453,5.709166666666667,Piotr Zieliński,93.33333333333333,False,5660.0,Poland,789.0,"['Right Wing', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield']",3.0
