,main_position,player_id,player_name,team,team_id,minutes_played,interceptions_per90,ball_recoveries_per90,pressures_per90,chances_created_per90,pass_completion_rate,progressive_passes_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,duel_success_rate
268,Left Defensive Midfield,7154,Sebastián Carlos Cristóforo Pepe,Sevilla,213,1582,79.21348314606742,38.20224719101123,92.69662921348315,8.146067415730338,79.7752808988764,6.179775280898876,97.19101123595506,98.87640449438202,19.382022471910112,56.17977528089888,87.07865168539325
284,Right Defensive Midfield,8234,Ignacio Camacho Barnola,Málaga,223,2139,96.62921348314607,62.64044943820225,41.01123595505618,33.146067415730336,10.674157303370785,70.78651685393258,81.17977528089888,83.98876404494382,77.24719101123596,49.43820224719101,75.28089887640449
321,Right Defensive Midfield,13107,Sergio Álvarez Díaz,Sporting Gijón,1041,2427,74.15730337078652,29.775280898876407,83.14606741573034,42.69662921348314,15.730337078651685,25.280898876404496,93.82022471910112,87.07865168539325,70.50561797752809,68.82022471910112,29.775280898876407
325,Center Defensive Midfield,15805,Hernán Daniel Santana Trujillo,Las Palmas,208,1024,89.32584269662921,57.30337078651685,12.359550561797752,1.6853932584269662,74.15730337078652,6.741573033707865,58.42696629213483,43.258426966292134,77.24719101123596,15.730337078651685,98.87640449438202
337,Right Defensive Midfield,18398,Omar Mascarell González,Sporting Gijón,1041,1857,88.20224719101124,23.595505617977526,65.1685393258427,28.932584269662918,7.865168539325842,51.12359550561798,19.101123595505616,80.33707865168539,19.382022471910112,49.43820224719101,8.98876404494382
343,Left Defensive Midfield,18925,Ignacio Cases Mora,Sporting Gijón,1041,1958,45.78651685393258,59.269662921348306,60.67415730337079,13.764044943820226,56.17977528089888,28.370786516853936,56.74157303370787,83.98876404494382,54.21348314606742,15.730337078651685,79.7752808988764
344,Right Defensive Midfield,19431,Fernando Damián Tissone,Málaga,223,1118,83.42696629213484,34.26966292134831,4.49438202247191,73.59550561797754,24.719101123595504,80.33707865168539,8.707865168539326,96.62921348314607,19.382022471910112,15.730337078651685,14.04494382022472
346,Center Defensive Midfield,19668,Augusto Matías Fernández,Atlético Madrid,212,2423,98.87640449438202,53.93258426966292,73.03370786516854,12.640449438202248,93.25842696629213,38.764044943820224,92.13483146067416,59.8314606741573,45.78651685393258,39.60674157303371,59.55056179775281
355,Left Defensive Midfield,20669,Tiago Cardoso Mendes,Atlético Madrid,212,1115,88.76404494382022,29.213483146067414,13.48314606741573,35.674157303370784,71.34831460674157,75.84269662921348,42.69662921348314,35.39325842696629,77.24719101123596,92.13483146067416,19.662921348314608
360,Left Defensive Midfield,22819,Bruno Soriano Llido,Villarreal,222,2610,91.01123595505618,61.23595505617978,1.1235955056179776,35.674157303370784,74.71910112359551,82.58426966292134,25.280898876404496,5.617977528089887,97.19101123595506,39.60674157303371,74.71910112359551
368,Right Defensive Midfield,23806,Alejandro Bergantiños García,RC Deportivo La Coruña,219,1858,45.78651685393258,60.1123595505618,30.89887640449438,73.59550561797754,35.39325842696629,51.96629213483146,65.4494382022472,7.303370786516854,83.14606741573034,15.730337078651685,46.06741573033708
378,Center Defensive Midfield,23970,José María Martín-Bejarano Serrano,Levante UD,221,935,40.168539325842694,30.337078651685395,6.741573033707865,14.887640449438203,21.910112359550563,14.04494382022472,20.786516853932586,74.71910112359551,19.382022471910112,15.730337078651685,3.932584269662921
390,Right Defensive Midfield,24149,José Antonio García Rabasco,Levante UD,221,2145,58.70786516853933,33.70786516853933,44.38202247191011,93.25842696629213,26.40449438202247,81.46067415730337,49.43820224719101,40.44943820224719,77.24719101123596,85.95505617977528,98.31460674157303
409,Left Defensive Midfield,25707,Francisco Manuel Rico Castro,Granada,1049,1397,77.24719101123596,18.53932584269663,38.20224719101123,97.19101123595506,30.89887640449438,90.4494382022472,52.24719101123596,99.43820224719101,87.92134831460675,15.730337078651685,88.20224719101124
412,Right Defensive Midfield,25881,Juan Antonio Rodríguez Villamuela,Getafe,216,2787,73.31460674157303,3.3707865168539324,10.112359550561797,8.146067415730338,37.359550561797754,24.15730337078652,16.853932584269664,49.43820224719101,19.382022471910112,39.60674157303371,69.10112359550563
431,Left Defensive Midfield,26607,José Raúl Baena Urdiales,Rayo Vallecano,360,2043,63.48314606741573,10.393258426966293,32.58426966292135,24.15730337078652,42.13483146067416,10.674157303370785,17.696629213483146,65.1685393258427,54.21348314606742,49.43820224719101,36.51685393258427
448,Right Defensive Midfield,26848,Roberto Trashorras Gayoso,Rayo Vallecano,360,3252,51.40449438202247,65.1685393258427,3.932584269662921,92.13483146067416,53.93258426966292,93.53932584269663,34.831460674157306,20.224719101123593,77.24719101123596,96.34831460674157,80.33707865168539
454,Center Defensive Midfield,27122,Simão Mate,Levante UD,221,2421,77.24719101123596,21.34831460674157,2.8089887640449436,3.3707865168539324,23.595505617977526,22.47191011235955,12.921348314606742,68.82022471910112,45.78651685393258,15.730337078651685,28.932584269662918
472,Right Defensive Midfield,27346,Petros Matheus dos Santos Araújo,Real Betis,218,2518,69.3820224719101,64.60674157303372,94.3820224719101,46.91011235955056,66.29213483146067,4.49438202247191,91.29213483146067,79.21348314606742,45.78651685393258,39.60674157303371,50.56179775280899
486,Left Defensive Midfield,27526,Rachid Aït-Atmane,Sporting Gijón,1041,1018,93.25842696629213,100.0,68.53932584269663,78.08988764044943,13.764044943820226,35.95505617977528,85.67415730337079,89.8876404494382,19.382022471910112,73.59550561797754,53.08988764044944
499,Left Defensive Midfield,3037,Mousa Sidi Yaya Dembélé,Tottenham Hotspur,38,2529,64.60674157303372,88.48314606741573,57.865168539325836,70.2247191011236,96.62921348314607,8.98876404494382,97.75280898876404,57.865168539325836,85.39325842696628,39.60674157303371,85.95505617977528
505,Left Defensive Midfield,3054,Fernando Luiz Rosa,Manchester City,36,2902,70.78651685393258,47.19101123595505,70.2247191011236,62.92134831460674,85.39325842696628,77.52808988764045,88.20224719101124,74.15730337078652,64.32584269662921,62.92134831460674,49.43820224719101
515,Right Defensive Midfield,3087,Gnégnéri Yaya Touré,Manchester City,36,2626,1.6853932584269662,27.52808988764045,1.6853932584269662,88.76404494382022,77.52808988764045,78.65168539325843,7.865168539325842,15.730337078651685,99.15730337078652,81.46067415730337,72.47191011235955
521,Right Defensive Midfield,3098,Victor Wanyama,Southampton,25,2729,42.41573033707865,85.95505617977528,57.30337078651685,27.808988764044944,57.58426966292135,38.20224719101123,76.68539325842697,77.80898876404494,45.78651685393258,39.60674157303371,57.30337078651685
536,Left Defensive Midfield,3272,Oriol Romeu Vidal,Southampton,25,1597,41.29213483146067,43.258426966292134,87.07865168539325,48.59550561797753,72.47191011235955,64.04494382022472,96.62921348314607,44.9438202247191,59.269662921348306,15.730337078651685,32.58426966292135
537,Right Defensive Midfield,3277,Yohan Cabaye,Crystal Palace,31,3010,95.50561797752809,50.56179775280899,56.46067415730337,88.20224719101124,29.775280898876407,43.82022471910113,65.4494382022472,20.224719101123593,92.97752808988764,32.58426966292135,11.235955056179774
571,Center Defensive Midfield,3344,Andrew Surman,AFC Bournemouth,28,3578,38.48314606741573,31.46067415730337,5.617977528089887,82.02247191011236,76.96629213483146,70.2247191011236,2.247191011235955,3.089887640449438,19.382022471910112,68.82022471910112,26.96629213483146
577,Left Defensive Midfield,3381,Nemanja Matić,Chelsea,33,2646,48.31460674157304,77.24719101123596,24.15730337078652,41.29213483146067,81.46067415730337,46.348314606741575,78.08988764044943,15.168539325842698,64.32584269662921,62.92134831460674,55.89887640449438
586,Left Defensive Midfield,3437,Francis Joseph Coquelin,Arsenal,1,1969,97.19101123595506,77.24719101123596,26.96629213483146,13.764044943820226,97.19101123595506,32.02247191011236,95.50561797752809,22.752808988764045,19.382022471910112,15.730337078651685,87.64044943820225
598,Left Defensive Midfield,3464,James McArthur,Crystal Palace,31,2439,62.07865168539326,86.51685393258427,46.62921348314607,58.98876404494382,70.2247191011236,1.6853932584269662,41.01123595505618,34.55056179775281,70.50561797752809,68.82022471910112,88.76404494382022
