,main_position,player_id,player_name,team,team_id,minutes_played,progressive_carries_rate,progressive_carries_per90,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,clearances_per90,blocks_per90,duels_won_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,goals_scored_per90,chances_created_per90
223,Left Center Back,6825,Daniel Filipe Martins Carriço,Sevilla,213,1027,65.9090909090909,54.958677685950406,61.77685950413223,52.47933884297521,65.08264462809917,26.446280991735538,69.42148760330579,61.98347107438017,55.578512396694215,54.958677685950406,34.710743801652896,73.96694214876032,81.81818181818183,25.413223140495866
224,Right Center Back,6827,Daniele Bonera,Villarreal,222,926,37.1900826446281,56.19834710743802,4.545454545454546,5.371900826446281,50.20661157024794,37.60330578512397,3.512396694214876,39.87603305785124,6.8181818181818175,13.223140495867769,63.42975206611571,5.785123966942149,21.90082644628099,29.958677685950413
228,Right Center Back,6837,Mauro Javier Dos Santos,Eibar,322,2793,23.34710743801653,18.59504132231405,78.51239669421489,64.6694214876033,71.07438016528926,54.958677685950406,44.62809917355372,9.917355371900827,69.42148760330579,83.05785123966942,66.94214876033058,83.26446280991735,21.90082644628099,29.958677685950413
238,Left Center Back,6861,Juan Torres Ruiz,Getafe,216,1956,21.487603305785125,27.479338842975203,86.36363636363636,92.14876033057851,95.45454545454545,89.25619834710744,39.25619834710744,36.77685950413223,90.49586776859503,46.48760330578512,65.70247933884298,79.54545454545455,59.29752066115702,63.42975206611571
242,Right Center Back,6869,Alejandro Arribas Garrido,RC Deportivo La Coruña,219,2885,34.29752066115703,28.09917355371901,89.6694214876033,78.51239669421489,91.52892561983471,66.73553719008265,55.371900826446286,26.65289256198347,80.78512396694215,92.56198347107438,46.69421487603306,84.0909090909091,72.52066115702479,40.70247933884297
243,Left Center Back,6872,Bruno González Cabrera,Real Betis,218,2988,1.6528925619834711,10.743801652892563,56.19834710743802,73.55371900826447,82.85123966942149,37.1900826446281,85.53719008264463,23.553719008264462,73.14049586776859,57.64462809917356,13.842975206611571,54.132231404958674,21.90082644628099,3.71900826446281
265,Right Center Back,7034,Mateo Pablo Musacchio,Villarreal,222,1119,77.27272727272727,70.0413223140496,78.099173553719,76.65289256198346,53.51239669421488,69.21487603305785,18.181818181818183,35.53719008264463,55.578512396694215,26.446280991735538,33.88429752066116,33.264462809917354,81.81818181818183,55.16528925619835
270,Right Center Back,7161,Germán Alejandro Pezzella,Real Betis,218,2142,7.024793388429752,13.223140495867769,81.19834710743802,83.05785123966942,89.25619834710744,51.03305785123967,73.55371900826447,83.26446280991735,79.13223140495867,91.73553719008265,42.14876033057851,67.76859504132231,94.83471074380165,10.330578512396695
280,Left Center Back,7907,Pedro Bigas Rigo,Las Palmas,208,2418,57.85123966942148,80.16528925619835,60.537190082644635,71.900826446281,98.34710743801654,77.27272727272727,67.97520661157024,51.652892561983464,73.14049586776859,33.264462809917354,17.97520661157025,65.49586776859503,92.76859504132231,63.42975206611571
287,Right Center Back,8440,Aythami Artiles Oliva,Las Palmas,208,2795,29.75206611570248,49.586776859504134,84.29752066115702,59.09090909090909,50.20661157024794,24.380165289256198,77.68595041322314,34.29752066115703,64.25619834710744,59.917355371900825,73.14049586776859,88.22314049586777,21.90082644628099,55.16528925619835
295,Left Center Back,8818,Jorge Meré Pérez,Sporting Gijón,1041,2230,7.851239669421488,8.057851239669422,30.57851239669421,79.13223140495867,67.35537190082644,36.77685950413223,36.36363636363637,15.082644628099173,79.13223140495867,74.17355371900827,13.842975206611571,27.27272727272727,21.90082644628099,10.330578512396695
300,Left Center Back,10476,Timothée Kolodziejczak,Sevilla,213,2420,93.80165289256198,89.6694214876033,12.190082644628099,26.65289256198347,75.82644628099173,74.3801652892562,3.512396694214876,2.066115702479339,30.37190082644628,36.98347107438016,70.86776859504133,20.24793388429752,21.90082644628099,48.14049586776859
301,Left Center Back,10609,Jérémy Mathieu,Barcelona,217,1106,80.78512396694215,96.69421487603306,49.79338842975206,36.570247933884296,77.47933884297521,96.69421487603306,39.87603305785124,72.52066115702479,41.52892561983471,48.760330578512395,54.132231404958674,65.49586776859503,21.90082644628099,89.87603305785123
331,Left Center Back,16456,Enzo Pablo Roco Roco,Espanyol,214,2418,25.6198347107438,24.380165289256198,15.702479338842975,13.429752066115702,85.12396694214877,85.9504132231405,52.47933884297521,44.214876033057855,12.396694214876034,71.28099173553719,43.80165289256198,14.256198347107437,77.27272727272727,22.107438016528928
332,Right Center Back,16539,Diego Antonio Reyes Rosales,Real Sociedad,210,2419,21.074380165289256,40.909090909090914,82.23140495867769,86.36363636363636,99.17355371900827,90.28925619834712,18.59504132231405,44.214876033057855,89.87603305785123,52.68595041322314,33.057851239669425,85.9504132231405,77.27272727272727,63.42975206611571
333,Right Center Back,16622,Mikel González de Martín Martínez,Real Sociedad,210,1575,65.28925619834712,51.652892561983464,27.892561983471076,40.289256198347104,65.70247933884298,36.36363636363637,65.08264462809917,50.82644628099173,46.074380165289256,76.44628099173553,27.27272727272727,38.63636363636363,21.90082644628099,14.46280991735537
335,Right Center Back,17054,Emiliano Daniel Velázquez Maldonado,Getafe,216,1023,2.8925619834710745,8.677685950413224,48.34710743801653,91.11570247933885,93.80165289256198,47.31404958677686,26.446280991735538,14.256198347107437,87.19008264462809,83.05785123966942,70.24793388429752,31.198347107438018,100.0,92.97520661157024
345,Left Center Back,19454,Ricardo Miguel Moreira da Costa,Granada,1049,1308,9.50413223140496,11.570247933884298,45.66115702479338,27.892561983471076,17.768595041322314,57.85123966942148,34.917355371900825,31.818181818181817,32.02479338842975,19.62809917355372,16.528925619834713,58.057851239669425,72.52066115702479,18.388429752066116
349,Right Center Back,20016,Kléper Laveran Lima Ferreira,Real Madrid,220,1942,51.652892561983464,62.1900826446281,93.80165289256198,54.54545454545454,81.40495867768594,67.35537190082644,6.6115702479338845,63.63636363636363,44.421487603305785,79.13223140495867,48.760330578512395,75.6198347107438,59.29752066115702,89.87603305785123
416,Right Center Back,26012,David Navarro Pedrós,Levante UD,221,1859,29.338842975206614,19.00826446280992,39.46280991735537,15.495867768595042,56.81818181818182,19.00826446280992,43.388429752066116,5.371900826446281,13.842975206611571,36.98347107438016,31.818181818181817,33.264462809917354,21.90082644628099,3.71900826446281
420,Right Center Back,26087,Carlos Gurpegi Nausia,Athletic Club,215,1114,22.31404958677686,21.90082644628099,35.74380165289256,35.33057851239669,92.56198347107438,83.67768595041323,61.15702479338842,12.190082644628099,40.082644628099175,96.69421487603306,51.652892561983464,47.31404958677686,21.90082644628099,55.16528925619835
424,Right Center Back,26222,José Eduardo Rosa Vale de Castro,Rayo Vallecano,360,2048,74.79338842975206,63.42975206611571,15.702479338842975,44.421487603305785,67.97520661157024,53.51239669421488,20.66115702479339,14.256198347107437,44.421487603305785,31.611570247933884,97.10743801652893,16.528925619834713,81.81818181818183,72.93388429752066
434,Left Center Back,26669,Weligton Róbson Pena de Oliveira,Málaga,223,2792,24.793388429752067,27.479338842975203,88.84297520661157,67.97520661157024,66.94214876033058,22.31404958677686,41.52892561983471,39.87603305785124,67.97520661157024,87.39669421487604,83.47107438016529,82.23140495867769,21.90082644628099,68.18181818181817
456,Right Center Back,27144,Antonio Amaya Carazo,Rayo Vallecano,360,929,12.396694214876034,36.36363636363637,1.2396694214876034,30.37190082644628,90.70247933884298,30.991735537190085,61.15702479338842,90.9090909090909,36.77685950413223,83.05785123966942,72.31404958677686,2.8925619834710745,86.98347107438018,3.71900826446281
460,Right Center Back,27184,Marcos Alberto Angeleri,Málaga,223,1209,71.07438016528926,46.074380165289256,3.71900826446281,26.65289256198347,65.08264462809917,49.586776859504134,33.264462809917354,3.3057851239669422,15.082644628099173,13.223140495867769,17.97520661157025,0.8264462809917356,21.90082644628099,48.14049586776859
461,Left Center Back,27239,Aleksandar Pantić,Eibar,322,1673,4.545454545454546,4.132231404958678,9.917355371900827,18.181818181818183,82.85123966942149,29.545454545454547,66.11570247933885,11.15702479338843,15.082644628099173,76.44628099173553,45.24793388429752,7.231404958677685,21.90082644628099,14.46280991735537
475,Left Center Back,27349,Heiko Westermann,Real Betis,218,1866,28.92561983471074,20.66115702479339,62.396694214876035,83.05785123966942,71.07438016528926,48.34710743801653,90.49586776859503,26.65289256198347,82.85123966942149,88.63636363636364,16.115702479338843,53.51239669421488,59.29752066115702,29.958677685950413
477,Right Center Back,27403,Santiago Vergini,Getafe,216,2230,31.198347107438018,39.66942148760331,69.62809917355372,52.47933884297521,98.7603305785124,70.66115702479338,12.8099173553719,5.371900826446281,48.96694214876033,84.0909090909091,20.24793388429752,58.057851239669425,21.90082644628099,10.330578512396695
482,Left Center Back,27482,Aderllan Leandro de Jesus Santos,Valencia,207,1581,32.438016528925615,23.140495867768596,0.8264462809917356,52.47933884297521,89.25619834710744,61.98347107438017,41.52892561983471,54.958677685950406,46.074380165289256,63.63636363636363,9.710743801652892,0.4132231404958678,21.90082644628099,14.46280991735537
487,Right Center Back,27656,Carl Medjani,Levante UD,221,1307,79.13223140495867,58.26446280991735,97.52066115702479,22.520661157024794,9.710743801652892,7.43801652892562,43.80165289256198,9.090909090909092,25.413223140495866,28.305785123966942,50.82644628099173,98.7603305785124,72.52066115702479,71.900826446281
500,Left Center Back,3041,Ciaran Clark,Aston Villa,59,1513,54.958677685950406,47.31404958677686,2.6859504132231407,9.297520661157025,72.10743801652893,47.31404958677686,93.18181818181817,73.55371900826447,10.743801652892563,35.53719008264463,35.12396694214876,3.925619834710744,65.70247933884298,59.917355371900825
502,Right Center Back,3044,Chancel Mbemba Mangulu,Newcastle United,37,3108,84.29752066115702,52.892561983471076,41.735537190082646,84.29752066115702,66.32231404958677,40.082644628099175,97.52066115702479,53.30578512396694,85.53719008264463,81.81818181818183,55.371900826446286,42.561983471074385,21.90082644628099,37.1900826446281
511,Left Center Back,3077,Jan Vertonghen,Tottenham Hotspur,38,2718,79.75206611570248,85.9504132231405,96.07438016528926,75.41322314049587,8.057851239669422,11.776859504132231,46.074380165289256,41.735537190082646,74.58677685950413,31.611570247933884,47.31404958677686,95.86776859504133,21.90082644628099,55.16528925619835
512,Left Center Back,3081,Jamaal Lascelles,Newcastle United,37,942,52.066115702479344,41.32231404958678,0.4132231404958678,1.0330578512396695,97.31404958677686,56.611570247933884,99.58677685950413,85.74380165289256,2.066115702479339,35.53719008264463,26.033057851239672,1.2396694214876034,99.17355371900827,68.18181818181817
516,Right Center Back,3090,Nicolás Hernán Otamendi,Manchester City,36,2807,45.867768595041326,83.47107438016529,53.71900826446281,95.45454545454545,96.07438016528926,73.14049586776859,91.32231404958677,28.305785123966942,97.31404958677686,95.0413223140496,71.48760330578511,62.396694214876035,51.2396694214876,40.70247933884297
523,Right Center Back,3101,Vincent Kompany,Manchester City,36,1217,36.77685950413223,76.85950413223141,84.29752066115702,59.09090909090909,68.59504132231406,80.37190082644628,82.64462809917356,10.330578512396695,64.25619834710744,94.00826446280992,77.68595041322314,88.22314049586777,97.52066115702479,74.79338842975206
529,Right Center Back,3244,John Stones,Everton,29,2916,66.52892561983471,84.29752066115702,96.07438016528926,57.64462809917356,34.29752066115703,57.85123966942148,5.371900826446281,79.54545454545455,59.50413223140496,34.710743801652896,40.49586776859504,97.10743801652893,21.90082644628099,40.70247933884297
532,Right Center Back,3263,Craig Cathcart,Watford,23,3201,14.46280991735537,8.057851239669422,9.50413223140496,18.181818181818183,5.991735537190083,49.586776859504134,67.97520661157024,12.190082644628099,16.94214876033058,25.413223140495866,52.68595041322314,10.330578512396695,44.83471074380165,25.413223140495866
540,Left Center Back,3288,Miguel Ángel Britos Cabrera,Watford,23,2263,45.04132231404959,22.31404958677686,10.950413223140496,10.330578512396695,26.859504132231404,31.818181818181817,89.6694214876033,13.636363636363635,8.057851239669422,21.694214876033058,60.12396694214877,8.884297520661157,21.90082644628099,3.71900826446281
542,Right Center Back,3290,Federico Fernández,Swansea City,26,3009,76.03305785123968,86.36363636363636,90.9090909090909,88.42975206611571,66.32231404958677,82.02479338842976,82.02479338842976,53.30578512396694,89.87603305785123,90.28925619834712,82.02479338842976,91.32231404958677,44.83471074380165,82.02479338842976
548,Left Center Back,3300,Maya Yoshida,Southampton,25,939,33.47107438016529,57.85123966942148,38.429752066115704,42.561983471074385,86.98347107438018,96.69421487603306,65.08264462809917,94.62809917355372,47.31404958677686,61.98347107438017,84.29752066115702,51.03305785123967,86.98347107438018,68.18181818181817
553,Right Center Back,3309,Sebastian Prödl,Watford,23,1783,88.84297520661157,9.090909090909092,84.29752066115702,55.99173553719008,26.859504132231404,20.66115702479339,48.96694214876033,29.132231404958674,59.917355371900825,39.66942148760331,15.702479338842975,88.22314049586777,90.28925619834712,33.88429752066116
555,Left Center Back,3311,Daley Blind,Manchester United,39,3284,92.14876033057851,94.62809917355372,13.223140495867769,78.099173553719,81.40495867768594,76.85950413223141,14.256198347107437,60.9504132231405,76.44628099173553,87.39669421487604,97.93388429752066,12.8099173553719,44.83471074380165,99.58677685950413
