,main_position,player_id,player_name,team,team_id,minutes_played,dribbles_completed_per90,dribble_success_rate,crosses_completed_per90,key_passes_per90,ball_recoveries_per90,pressures_per90,fouls_won_per90,goal_assists_per90,progressive_carries_per90,goals_scored_per90,goals_minus_xg_per90,progressive_carries_rate,chances_created_per90
363,Left Wing,23785,Théo Bongonda Mbul''Ofeko Batombo,Celta Vigo,209,1306,39.698492462311556,4.773869346733668,12.562814070351758,9.045226130653267,26.38190954773869,4.522613065326634,79.39698492462311,20.100502512562816,69.84924623115577,37.437185929648244,30.90452261306533,89.9497487437186,8.291457286432161
369,Right Wing,23816,José Antonio Reyes Calderón,Sevilla,213,1306,21.608040201005025,13.06532663316583,85.17587939698493,90.45226130653266,66.08040201005025,81.4070351758794,92.96482412060301,20.100502512562816,54.2713567839196,13.5678391959799,7.035175879396985,64.82412060301507,85.678391959799
373,Right Wing,23848,Carlos Carmona Bonet,Sporting Gijón,1041,1488,27.889447236180903,27.386934673366838,54.52261306532663,45.22613065326633,41.20603015075377,87.93969849246231,26.884422110552762,71.60804020100502,15.577889447236181,35.427135678391956,26.13065326633166,36.68341708542713,49.74874371859296
381,Left Wing,23994,Alejandro Menéndez Díez,Sporting Gijón,1041,1028,34.17085427135678,30.65326633165829,55.778894472361806,36.68341708542713,42.96482412060301,58.291457286432156,0.7537688442211055,31.155778894472363,20.100502512562816,52.26130653266332,76.13065326633166,77.88944723618091,30.90452261306533
383,Left Wing,24070,Saúl Berjón Pérez,Eibar,322,1489,18.341708542713565,1.507537688442211,63.06532663316583,88.44221105527639,53.768844221105525,23.618090452261306,4.522613065326634,86.68341708542714,31.65829145728643,68.34170854271356,7.035175879396985,60.80402010050251,89.69849246231156
411,Right Midfield,25859,Sérgio Paulo Barbosa Valente,Málaga,223,930,83.41708542713567,65.82914572864321,78.39195979899498,100.0,98.99497487437185,54.020100502512555,100.0,35.92964824120603,80.40201005025126,24.371859296482413,7.035175879396985,15.577889447236181,99.49748743718592
413,Left Wing,25921,Rubén Gracia Calmache,RC Deportivo La Coruña,219,1113,23.618090452261306,19.34673366834171,4.0201005025125625,6.281407035175879,20.85427135678392,25.628140703517587,9.045226130653267,5.025125628140704,17.587939698492463,3.2663316582914574,26.13065326633166,35.678391959798994,4.0201005025125625
417,Left Wing,26020,Ángel Lafita Castillo,Getafe,216,1118,33.165829145728644,7.035175879396985,17.587939698492463,4.522613065326634,32.663316582914575,43.71859296482412,60.30150753768844,60.80402010050251,9.547738693467336,68.34170854271356,78.89447236180904,31.155778894472363,6.030150753768844
438,Left Wing,26723,Álvaro Cejudo Carmona,Real Betis,218,1957,55.27638190954774,31.909547738693465,40.45226130653266,29.64824120603015,85.42713567839196,72.36180904522614,71.35678391959799,35.92964824120603,38.19095477386934,7.788944723618091,37.185929648241206,58.040201005025125,25.628140703517587
497,Right Midfield,2966,Stéphane Sessègnon,West Bromwich Albion,27,1974,78.39195979899498,77.38693467336684,45.47738693467337,48.24120603015075,93.21608040201005,6.030150753768844,85.92964824120602,35.92964824120603,81.4070351758794,24.371859296482413,63.5678391959799,87.43718592964824,45.47738693467337
498,Left Wing,2988,Memphis Depay,Manchester United,39,1504,66.33165829145729,38.94472361809046,61.80904522613066,12.814070351758794,62.562814070351756,10.552763819095476,74.62311557788944,5.025125628140704,79.89949748743719,33.165829145728644,1.7587939698492463,65.32663316582915,5.025125628140704
501,Left Wing,3043,Christian Dannemann Eriksen,Tottenham Hotspur,38,3094,23.618090452261306,43.71859296482412,59.04522613065326,98.49246231155779,94.47236180904522,46.231155778894475,3.2663316582914574,93.71859296482413,63.5678391959799,52.26130653266332,57.03517587939698,35.175879396984925,98.49246231155779
503,Right Midfield,3049,Matt Ritchie,AFC Bournemouth,28,3108,9.798994974874372,54.2713567839196,67.33668341708542,32.663316582914575,87.43718592964824,60.80402010050251,54.2713567839196,66.08040201005025,20.603015075376884,33.165829145728644,37.185929648241206,2.512562814070352,38.44221105527638
510,Left Wing,3076,Ayoze Pérez Gutiérrez,Newcastle United,37,2071,84.17085427135679,57.286432160804026,48.49246231155779,43.21608040201005,83.91959798994975,96.4824120603015,71.35678391959799,31.155778894472363,47.73869346733669,75.37688442211056,86.4321608040201,32.1608040201005,40.45226130653266
517,Right Wing,3091,Moussa Sissoko,Newcastle United,37,3483,68.84422110552764,51.75879396984925,90.7035175879397,56.28140703517588,83.16582914572864,39.44723618090452,13.06532663316583,71.60804020100502,74.87437185929649,6.532663316582915,14.824120603015075,84.92462311557789,59.04522613065326
525,Left Midfield,3196,Wahbi Khazri,Sunderland,41,1226,30.65326633165829,31.155778894472363,73.86934673366834,92.46231155778895,37.93969849246231,80.90452261306532,20.85427135678392,26.13065326633166,26.13065326633166,41.45728643216081,81.90954773869346,22.613065326633166,88.19095477386935
527,Left Wing,3233,Raheem Sterling,Manchester City,36,2150,68.34170854271356,73.36683417085426,6.030150753768844,61.30653266331658,65.07537688442211,22.110552763819097,76.88442211055276,31.155778894472363,71.85929648241206,72.61306532663316,37.185929648241206,63.81909547738693,58.040201005025125
539,Right Midfield,3286,Nathan Redmond,Norwich City,56,2255,81.90954773869346,87.93969849246231,38.19095477386934,66.58291457286433,62.562814070351756,52.76381909547738,47.23618090452261,42.71356783919598,79.39698492462311,65.07537688442211,92.71356783919597,75.87939698492463,67.08542713567839
544,Right Wing,3293,Jesse Lingard,Manchester United,39,1790,5.025125628140704,3.5175879396984926,3.2663316582914574,11.306532663316583,26.38190954773869,73.86934673366834,19.09547738693467,15.07537688442211,36.93467336683417,59.54773869346733,68.5929648241206,50.25125628140703,8.291457286432161
545,Right Wing,3294,Juan Manuel Mata García,Manchester United,39,3189,22.613065326633166,90.95477386934674,13.5678391959799,56.28140703517588,42.96482412060301,10.050251256281408,19.09547738693467,54.52261306532663,46.231155778894475,48.743718592964825,46.733668341708544,2.0100502512562812,55.27638190954774
547,Right Wing,3297,Andros Townsend,Newcastle United,37,1131,96.73366834170855,86.93467336683418,88.19095477386935,93.71859296482413,81.90954773869346,86.93467336683418,26.884422110552762,57.78894472361809,94.9748743718593,82.1608040201005,98.24120603015075,77.38693467336684,91.4572864321608
551,Left Midfield,3307,Marc Albrighton,Leicester City,22,3206,52.76381909547738,83.91959798994975,79.39698492462311,70.85427135678391,58.040201005025125,52.26130653266332,10.301507537688442,75.37688442211056,23.618090452261306,10.050251256281408,37.185929648241206,57.286432160804026,73.11557788944724
561,Left Wing,3325,Marko Arnautović,Stoke City,30,3100,77.1356783919598,71.85929648241206,36.93467336683417,54.2713567839196,37.185929648241206,31.65829145728643,11.809045226130653,66.08040201005025,37.68844221105528,82.1608040201005,42.211055276381906,9.045226130653267,57.03517587939698
574,Right Wing,3347,André Ayew Pelé,Swansea City,26,3198,25.125628140703515,36.68341708542713,0.5025125628140703,2.0100502512562812,5.527638190954774,50.25125628140703,72.8643216080402,15.07537688442211,10.050251256281408,84.67336683417085,90.95477386934674,18.84422110552764,2.261306532663317
579,Left Wing,3385,Alexis Alejandro Sánchez Sánchez,Arsenal,1,2623,95.97989949748744,85.92964824120602,71.60804020100502,81.90954773869346,95.97989949748744,29.145728643216078,87.43718592964824,50.502512562814076,78.64321608040201,93.71859296482413,72.36180904522614,8.542713567839195,79.39698492462311
591,Right Wing,3449,Wayne Routledge,Swansea City,26,2066,19.597989949748744,70.10050251256281,32.914572864321606,47.48743718592965,11.306532663316583,33.66834170854271,23.115577889447238,12.060301507537687,13.5678391959799,20.603015075376884,26.13065326633166,41.70854271356784,40.45226130653266
592,Left Wing,3450,Jordan Ayew,Aston Villa,59,2545,91.4572864321608,57.78894472361809,16.331658291457288,3.015075376884422,46.984924623115575,94.9748743718593,48.24120603015075,5.025125628140704,42.96482412060301,68.34170854271356,76.13065326633166,16.08040201005025,1.507537688442211
597,Left Midfield,3463,Junior Stanislas,AFC Bournemouth,28,1606,63.31658291457286,62.562814070351756,77.1356783919598,79.39698492462311,42.96482412060301,35.175879396984925,10.301507537688442,42.71356783919598,65.82914572864321,48.743718592964825,63.5678391959799,52.26130653266332,76.88442211055276
602,Right Wing,3469,Bakary Sako,Crystal Palace,31,1035,61.30653266331658,43.21608040201005,43.21608040201005,10.050251256281408,71.85929648241206,41.20603015075377,11.809045226130653,31.155778894472363,75.87939698492463,52.26130653266332,37.185929648241206,74.87437185929649,10.552763819095476
