,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90,clearances_per90,blocks_per90,times_dribbled_past_per90,progressive_passes_per90,duel_success_rate,ball_recoveries_per90,dribbles_completed_per90,dribble_success_rate,key_passes_per90,shots_total_per90,xg_total_per90,fouls_won_per90,goals_minus_xg_per90,progressive_carries_rate,shot_accuracy,penalties_won_per90,headed_shot_duel_rate,rating
38,Goalkeeper,3970,Fraser Forster,Southampton,25,1697,52.17391304347826,88.04347826086956,80.43478260869566,1.0869565217391304,28.26086956521739,1.0869565217391304,22.82608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.526334372790735
39,Goalkeeper,4053,Ben Foster,West Bromwich Albion,27,1406,58.69565217391305,79.34782608695652,64.67391304347827,9.239130434782608,28.26086956521739,3.260869565217391,13.043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.20505028298714
40,Goalkeeper,5108,Glyn Oliver Myhill,West Bromwich Albion,27,2171,38.58695652173913,41.30434782608695,39.130434782608695,7.608695652173914,28.26086956521739,22.82608695652174,8.695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.20614027943383
41,Goalkeeper,6871,Costel Fane Pantilimon,Sunderland,41,1599,97.82608695652173,40.21739130434783,22.82608695652174,39.130434782608695,28.26086956521739,14.673913043478262,15.217391304347828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.73876230933562
42,Goalkeeper,9014,Declan Rudd,Norwich City,56,1034,38.58695652173913,2.1739130434782608,3.260869565217391,34.78260869565217,28.26086956521739,9.782608695652174,7.608695652173914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.075769825077586
43,Goalkeeper,9539,Vito Mannone,Sunderland,41,1791,93.47826086956522,86.95652173913044,62.5,36.41304347826087,28.26086956521739,23.91304347826087,6.521739130434782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.6048369757426
44,Goalkeeper,12608,Bradley Guzan,Aston Villa,59,2646,57.608695652173914,8.695652173913043,2.1739130434782608,16.304347826086957,28.26086956521739,26.08695652173913,41.30434782608695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.48528150168107
45,Goalkeeper,13042,Tim Howard,Everton,29,2348,79.8913043478261,57.065217391304344,39.130434782608695,13.043478260869565,28.26086956521739,14.673913043478262,77.17391304347827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0615697005234
46,Goalkeeper,16309,Joel Robles Blázquez,Everton,29,1228,88.04347826086956,55.434782608695656,50.0,23.91304347826087,28.26086956521739,4.891304347826087,17.391304347826086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.285174110819746
47,Goalkeeper,18672,Mark Bunn,Aston Villa,59,938,13.043478260869565,1.0869565217391304,10.326086956521738,9.239130434782608,92.93478260869566,8.152173913043478,11.956521739130435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.341006581881025
