player_id,player_name,team,team_id,matches_played,value_eur,wage_eur,age,height_cm,weight_kg,club_loaned_from,club_contract_valid_until,nationality_id,nationality_name,preferred_foot,competition,tackle_success_rate,interception_success_rate,head_clearance_success_rate,headed_shot_duel_rate,pass_completion_rate,crosses_completed,cutbacks_completed,switches_completed,through_balls_completed,progressive_passes_completed,progressive_passes_accuracy,passes_final_third_accuracy,passes_to_box_accuracy,progressive_carries_rate,avg_carry_distance,duel_success_rate,yellow_cards,red_cards,dribble_success_rate,minutes_played,goals_scored,shot_accuracy,xg_total,avg_xg,goals_minus_xg,conversion_rate_inside_box,save_percentage,penalties_saved,penalty_save_percentage,xg_against,clean_sheets,goals_conceded,xg_against_minus_goals_conceded,tackles_successful_per90,interceptions_per90,clearances_per90,blocks_per90,head_clearances_per90,head_clearances_won_per90,times_dribbled_past_per90,ball_recoveries_per90,offensive_recoveries_per90,pressures_per90,counterpress_per90,total_passes_per90,completed_passes_per90,incomplete_passes_per90,passes_out_per90,offside_passes_per90,failed_passes_per90,ground_passes_per90,low_passes_per90,high_passes_per90,deflected_passes_per90,crosses_total_per90,crosses_completed_per90,cutbacks_total_per90,cutbacks_completed_per90,switches_total_per90,switches_completed_per90,through_balls_total_per90,through_balls_completed_per90,passes_own_half_per90,passes_opposition_half_per90,progressive_passes_per90,progressive_passes_completed_per90,passes_final_third_per90,passes_to_box_per90,carries_per90,progressive_carries_per90,dribbles_completed_per90,duels_total_per90,duels_won_per90,fouls_won_per90,fouls_committed_per90,penalties_won_per90,penalties_conceded_per90,penalties_saved_per90,saves_per90,keeper_sweeper_per90,shots_total_per90,non_blocked_shots_per90,shots_on_target_per90,shots_off_target_per90,blocked_shots_per90,shots_inside_box_per90,free_kick_goals_per90,goals_scored_per90,penalty_goals_per90,goal_assists_per90,key_passes_per90,chances_created_per90,goals_conceded_per90,xg_total_per90,goals_minus_xg_per90,xg_against_per90,xg_against_minus_goals_conceded_per90,yellow_cards_per90,red_cards_per90,main_position,aerial_dominance_index_per90,rating
3379,Alphonse Areola,Villarreal,222,32,7000000.00,40000.00,22,191,88,Paris Saint-Germain,2016.00,18,France,Right,Spain - La Liga,0.00,0.00,0.00,0.00,57.60,0.00,0.00,14.00,0.00,212,36.49,25.58,0.00,60.74,11.31,0.00,1,0,100.00,2984,0,0.00,0.00,0.00,0.00,0.00,76.84,1,50.00,15.05,15,25,-9.95,0.00,0.00,0.03,0.06,0.00,0.00,0.00,4.82,0.00,0.06,0.03,25.18,14.50,9.92,0.63,0.12,10.67,6.57,1.26,18.12,0.00,0.00,0.00,0.00,0.00,0.75,0.42,0.00,0.00,25.18,0.00,17.52,6.39,2.59,0.24,4.07,2.47,0.03,0.00,0.00,0.24,0.03,0.00,0.00,0.03,2.50,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.45,-0.31,0.03,0.00,goalkeeper,46.1,69.32424126008452
3486,Fernando Llorente Torres,Sevilla,213,23,13500000.00,90000.00,30,195,90,,2018.00,45,Spain,Right,Spain - La Liga,75.00,55.56,10.00,68.42,65.27,4.00,0.00,2.00,2.00,23,38.33,55.79,50.00,50.00,11.21,66.67,4,0,50.00,1306,4,51.72,4.84,0.15,-0.85,13.33,0.00,0,0.00,0.00,0,0,0.00,0.62,0.34,0.82,0.89,0.68,0.06,0.48,1.79,0.00,14.05,3.03,26.39,17.22,8.61,0.48,0.06,9.16,10.81,9.02,6.96,0.00,0.55,0.27,0.00,0.00,0.13,0.13,0.13,0.13,5.16,21.22,4.13,1.58,13.09,3.85,4.41,2.20,0.68,0.82,0.55,0.55,2.61,0.06,0.00,0.00,0.00,0.00,2.13,1.99,1.03,0.96,0.13,2.06,0.00,0.27,0.00,0.20,0.96,1.17,0.00,0.33,-0.06,0.00,0.00,0.27,0.00,striker,0.0,52.83703550251914
3497,Vicente Iborra De La Fuente,Sevilla,213,29,16000000.00,100000.00,27,195,88,,2020.00,45,Spain,Right,Spain - La Liga,60.71,55.56,28.57,83.33,68.53,4.00,0.00,6.00,1.00,60,41.38,49.15,35.47,66.97,11.24,60.71,9,1,54.55,1949,7,46.15,6.91,0.21,0.09,24.14,0.00,0,0.00,0.00,0,0,0.00,0.78,0.46,1.29,1.93,0.96,0.27,0.69,2.21,0.00,12.56,2.17,29.78,20.41,8.58,0.60,0.18,9.37,15.65,6.92,7.43,0.00,0.60,0.18,0.13,0.00,0.55,0.27,0.13,0.04,13.39,16.39,6.69,2.77,10.80,2.86,5.03,3.37,0.27,1.29,0.78,1.29,2.30,0.00,0.00,0.00,0.00,0.00,1.47,1.20,0.55,0.64,0.27,1.33,0.00,0.32,0.00,0.09,0.50,0.60,0.00,0.31,0.00,0.00,0.00,0.41,0.04,offensive midfield,0.0,53.36591922771431
3508,Sandro Ramírez Castillo,Barcelona,217,10,3500000.00,30000.00,19,175,71,,2017.00,45,Spain,Right,Spain - La Liga,0.00,66.67,100.00,0.00,79.12,0.00,0.00,1.00,0.00,9,75.00,71.11,31.25,46.88,13.03,0.00,0,0,25.00,372,0,14.29,1.93,0.19,-1.93,0.00,0.00,0,0.00,0.00,0,0,0.00,0.00,0.48,0.24,1.45,0.24,0.24,0.48,2.66,0.00,13.06,5.08,22.01,17.41,4.35,0.24,0.00,4.59,16.20,3.62,2.17,0.00,1.45,0.00,0.00,0.00,0.48,0.24,0.24,0.00,3.87,18.14,2.90,2.17,10.88,3.87,7.74,3.62,0.48,0.24,0.00,1.69,0.96,0.00,0.00,0.00,0.00,0.00,2.41,1.69,0.24,1.45,0.72,1.93,0.00,0.00,0.00,0.24,0.96,1.20,0.00,0.46,-0.47,0.00,0.00,0.00,0.00,winger,0.0,S.V
3601,Charly Musonda Junior,Real Betis,218,16,700000.00,5000.00,21,165,56,,2017.00,45,Spain,Right,Spain - La Liga,37.50,60.00,0.00,0.00,72.63,5.00,0.00,7.00,0.00,45,51.14,61.50,30.00,61.97,14.75,37.50,2,0,57.78,1212,1,60.00,0.67,0.04,0.33,20.00,0.00,0,0.00,0.00,0,0,0.00,0.66,0.66,0.37,1.26,0.07,0.00,1.11,4.45,0.00,18.04,4.15,29.03,21.08,7.50,0.29,0.14,7.94,20.34,3.93,4.97,0.00,2.30,0.37,0.00,0.00,1.03,0.51,0.22,0.00,6.23,22.79,6.53,3.34,15.81,5.19,21.08,13.06,3.86,1.78,0.66,4.23,1.48,0.07,0.00,0.00,0.00,0.00,1.03,0.74,0.44,0.29,0.29,0.37,0.00,0.07,0.00,0.07,0.81,0.89,0.00,0.04,0.02,0.00,0.00,0.14,0.00,winger,0.0,57.69335358241828
3610,Roque Mesa Quevedo,Las Palmas,208,34,1700000.00,25000.00,26,168,64,,2016.00,45,Spain,Right,Spain - La Liga,82.00,76.00,33.33,100.00,87.22,2.00,0.00,35.00,2.00,207,66.98,72.70,33.86,49.83,13.07,80.00,12,0,58.21,3161,1,25.93,1.80,0.05,-0.80,12.50,0.00,0,0.00,0.00,0,0,0.00,1.16,1.08,0.88,1.08,0.34,0.11,1.39,6.32,0.00,13.72,3.98,58.82,51.30,6.83,0.59,0.08,7.51,47.77,4.89,6.37,0.05,0.25,0.05,0.02,0.00,1.33,0.99,0.14,0.05,31.46,27.36,8.79,5.89,11.78,1.76,24.45,12.18,1.11,1.42,1.13,1.85,1.39,0.00,0.00,0.00,0.00,0.00,0.93,0.76,0.19,0.54,0.17,0.22,0.00,0.02,0.00,0.05,0.39,0.45,0.00,0.05,-0.03,0.00,0.00,0.34,0.00,defensive midfield,0.0,62.01008417770014
3637,Grzegorz Krychowiak,Sevilla,213,26,21500000.00,110000.00,25,186,85,,2018.00,37,Poland,Right,Spain - La Liga,62.50,60.81,46.94,66.67,83.35,3.00,0.00,31.00,1.00,163,59.93,67.27,42.31,47.59,11.92,61.11,6,0,75.00,2326,0,11.76,1.86,0.08,-1.86,0.00,0.00,0,0.00,0.00,0,0,0.00,1.74,1.74,3.25,1.85,1.89,0.88,0.81,4.64,0.03,14.00,2.55,47.39,39.50,6.73,1.00,0.15,7.89,32.81,5.84,8.93,0.00,0.23,0.11,0.07,0.00,1.58,1.19,0.07,0.03,33.08,14.31,10.52,6.30,8.51,1.00,13.65,6.50,0.46,2.78,1.70,2.39,2.01,0.07,0.00,0.00,0.00,0.00,0.85,0.65,0.07,0.58,0.19,0.54,0.00,0.00,0.00,0.00,0.19,0.19,0.00,0.07,-0.08,0.00,0.00,0.23,0.00,defensive midfield,0.0,55.01845908192189
3638,Shkodran Mustafi,Valencia,207,30,23000000.00,130000.00,23,184,82,,2019.00,21,Germany,Right,Spain - La Liga,60.23,58.54,55.75,66.67,81.54,0.00,0.00,49.00,0.00,257,60.47,56.38,21.05,51.82,12.14,56.82,14,0,50.00,2791,2,23.53,1.98,0.08,0.01,10.00,0.00,0,0.00,0.00,0,0,0.00,1.70,1.54,5.70,2.25,3.64,2.03,1.03,4.54,0.00,11.54,2.12,47.69,38.88,7.44,1.06,0.29,8.80,31.53,4.28,12.18,0.00,0.03,0.00,0.00,0.00,2.03,1.58,0.00,0.00,41.88,5.80,13.70,8.28,6.06,0.61,13.25,6.86,0.22,2.83,1.61,0.70,1.35,0.03,0.00,0.00,0.00,0.00,0.77,0.54,0.12,0.41,0.22,0.64,0.00,0.06,0.00,0.00,0.09,0.09,0.00,0.06,0.00,0.00,0.00,0.45,0.00,center back,0.0,64.62994482920531
3990,Jesé Rodríguez Ruiz,Real Madrid,220,28,12000000.00,70000.00,22,178,73,,2017.00,45,Spain,Right,Spain - La Liga,83.33,70.00,0.00,0.00,77.14,12.00,1.00,5.00,0.00,46,74.19,70.26,43.53,77.33,18.30,66.67,0,0,60.61,655,5,89.47,3.18,0.15,1.82,26.32,0.00,0,0.00,0.00,0,0,0.00,2.06,0.96,0.41,1.51,0.13,0.00,0.68,5.77,0.00,16.62,3.43,54.68,42.18,11.67,0.54,0.27,12.50,43.00,5.77,6.04,0.13,5.63,1.64,0.54,0.13,1.09,0.68,0.13,0.00,8.65,46.03,8.51,6.32,31.87,11.67,23.63,18.27,2.74,2.47,1.64,1.92,1.92,0.00,0.00,0.00,0.00,0.00,2.88,2.61,2.33,0.27,0.27,2.61,0.00,0.68,0.00,0.82,2.74,3.57,0.00,0.43,0.25,0.00,0.00,0.00,0.00,winger,0.0,S.V
4320,Neymar da Silva Santos Junior,Barcelona,217,34,71500000.00,240000.00,23,174,68,,2018.00,54,Brazil,Right,Spain - La Liga,40.00,76.92,0.00,50.00,78.23,26.00,7.00,48.00,18.00,185,65.59,70.18,43.85,54.47,14.17,40.00,6,0,61.90,3136,24,55.45,20.47,0.16,3.53,23.96,0.00,0,0.00,0.00,0,0,0.00,0.28,0.28,0.08,0.83,0.02,0.00,0.77,3.55,0.00,11.25,3.47,56.19,43.96,11.53,0.45,0.22,12.22,41.01,7.26,8.26,0.00,2.03,0.74,0.40,0.20,1.83,1.37,1.00,0.51,7.00,49.19,8.09,5.30,35.70,10.73,30.82,16.78,4.85,0.71,0.28,4.56,1.57,0.22,0.00,0.00,0.00,0.00,3.52,2.89,1.60,1.26,0.63,2.75,0.02,0.68,0.14,0.34,2.35,2.69,0.00,0.58,0.10,0.00,0.00,0.17,0.00,winger,0.0,82.22045528636286
