,main_position,player_id,player_name,team,team_id,minutes_played,goal_assists_per90,key_passes_per90,progressive_passes_per90,duels_won_per90,duel_success_rate,pass_completion_rate,shots_total_per90,xg_total_per90,dribbles_completed_per90,goals_scored_per90,dribble_success_rate,progressive_carries_per90
405,Center Attacking Midfield,24783,Javier Márquez Moreno,Granada,1049,1497,25.0,9.67741935483871,91.93548387096774,89.51612903225806,58.87096774193549,22.58064516129032,19.35483870967742,3.225806451612903,8.064516129032258,4.838709677419355,100.0,17.741935483870968
492,Center Attacking Midfield,40822,Daniel Arnaud N''Di	,Sporting Gijón,1041,927,6.451612903225806,11.29032258064516,4.838709677419355,37.096774193548384,98.38709677419355,16.129032258064516,14.516129032258066,50.0,70.96774193548387,22.58064516129032,80.64516129032258,27.419354838709676
508,Center Attacking Midfield,3064,David Josué Jiménez Silva,Manchester City,36,2056,98.38709677419355,93.54838709677419,96.7741935483871,61.29032258064516,41.935483870967744,85.48387096774194,17.741935483870968,30.64516129032258,51.61290322580645,19.35483870967742,67.74193548387096,91.93548387096774
519,Center Attacking Midfield,3094,Bamidele Alli,Tottenham Hotspur,38,2622,86.29032258064517,75.80645161290323,45.96774193548387,84.67741935483872,56.451612903225815,41.935483870967744,80.64516129032258,88.70967741935483,57.25806451612904,90.32258064516128,4.838709677419355,59.67741935483871
618,Center Attacking Midfield,3496,Mesut Özil,Arsenal,1,3283,100.0,100.0,95.16129032258065,24.193548387096776,61.29032258064516,80.64516129032258,22.58064516129032,50.0,62.096774193548384,45.16129032258064,50.0,80.64516129032258
637,Center Attacking Midfield,3535,Roberto Firmino Barbosa de Oliveira,Liverpool,24,2259,86.29032258064517,67.74193548387096,17.741935483870968,98.38709677419355,75.80645161290323,43.54838709677419,85.48387096774194,90.32258064516128,87.09677419354838,95.16129032258065,65.32258064516128,40.32258064516129
642,Center Attacking Midfield,3567,Georginio Wijnaldum,Newcastle United,37,3389,45.96774193548387,24.193548387096776,11.29032258064516,46.774193548387096,93.54838709677419,91.93548387096774,30.64516129032258,63.70967741935484,85.48387096774194,75.80645161290323,91.93548387096774,38.70967741935484
660,Center Attacking Midfield,3606,Ander Herrera Agüera,Manchester United,39,1595,50.0,37.903225806451616,85.48387096774194,100.0,91.93548387096774,83.87096774193549,24.193548387096776,42.74193548387097,38.70967741935484,45.16129032258064,58.87096774193549,32.25806451612903
671,Center Attacking Midfield,3629,Sadio Mané,Southampton,25,2825,60.483870967741936,48.38709677419355,19.35483870967742,59.67741935483871,25.806451612903224,58.06451612903226,90.32258064516128,100.0,93.54838709677419,91.93548387096774,33.87096774193548,71.7741935483871
711,Center Attacking Midfield,3828,Steven Davis,Southampton,25,2915,25.0,62.903225806451616,90.32258064516128,70.16129032258065,24.193548387096776,67.74193548387096,1.6129032258064515,4.838709677419355,16.93548387096774,39.516129032258064,71.7741935483871,50.0
717,Center Attacking Midfield,3944,Gylfi Þór Sigurðsson,Swansea City,26,3011,32.25806451612903,83.87096774193549,35.483870967741936,44.354838709677416,66.12903225806451,26.61290322580645,88.70967741935483,72.58064516129032,27.419354838709676,83.87096774193549,29.03225806451613,12.903225806451612
736,Center Attacking Midfield,4090,Adam David Lallana,Liverpool,24,2165,90.32258064516128,87.09677419354838,32.25806451612903,89.51612903225806,53.2258064516129,59.67741935483871,51.61290322580645,50.0,73.38709677419355,45.16129032258064,54.03225806451613,69.35483870967742
743,Center Attacking Midfield,4275,Ross Barkley,Everton,29,3390,70.16129032258065,64.51612903225806,75.80645161290323,22.58064516129032,37.903225806451616,88.70967741935483,82.25806451612904,63.70967741935484,91.93548387096774,60.483870967741936,75.80645161290323,85.48387096774194
775,Center Attacking Midfield,4891,Ibrahim Afellay,Stoke City,30,2248,32.25806451612903,12.903225806451612,66.93548387096774,49.193548387096776,95.96774193548387,98.38709677419355,35.483870967741936,12.903225806451612,65.32258064516128,19.35483870967742,87.09677419354838,74.19354838709677
777,Center Attacking Midfield,4913,Bojan Krkíc Pérez,Stoke City,30,2065,16.93548387096774,41.12903225806452,27.419354838709676,3.225806451612903,7.258064516129033,74.19354838709677,37.903225806451616,68.54838709677419,80.64516129032258,78.2258064516129,17.741935483870968,61.29032258064516
823,Center Attacking Midfield,9528,Steven Naismith,Norwich City,56,1410,25.0,43.54838709677419,16.129032258064516,62.903225806451616,54.83870967741935,37.096774193548384,44.354838709677416,63.70967741935484,14.516129032258066,70.16129032258065,3.225806451612903,16.129032258064516
837,Center Attacking Midfield,9638,Jack Grealish,Aston Villa,59,850,6.451612903225806,46.774193548387096,22.58064516129032,3.225806451612903,14.516129032258066,61.29032258064516,48.38709677419355,8.064516129032258,82.25806451612904,25.0,40.32258064516129,93.54838709677419
857,Center Attacking Midfield,10966,Wes Hoolahan,Norwich City,56,2352,81.45161290322581,66.12903225806451,66.93548387096774,20.967741935483872,4.838709677419355,66.12903225806451,8.064516129032258,33.064516129032256,45.16129032258064,39.516129032258064,42.74193548387097,75.80645161290323
892,Center Attacking Midfield,19688,Jason Puncheon,Crystal Palace,31,2910,40.32258064516129,80.64516129032258,77.41935483870968,70.16129032258065,51.61290322580645,45.16129032258064,41.935483870967744,27.419354838709676,65.32258064516128,12.903225806451612,69.35483870967742,54.83870967741935
942,Center Attacking Midfield,40122,Oscar dos Santos Emboaba Júnior,Chelsea,33,1891,56.451612903225815,58.06451612903226,70.96774193548387,94.35483870967742,40.32258064516129,75.80645161290323,79.03225806451613,80.64516129032258,75.80645161290323,35.483870967741936,27.419354838709676,71.7741935483871
1038,Center Attacking Midfield,6719,Franco Damián Vázquez,Palermo,2256,3357,58.06451612903226,56.451612903225815,80.64516129032258,82.25806451612904,45.16129032258064,35.483870967741936,93.54838709677419,72.58064516129032,95.16129032258065,60.483870967741936,19.35483870967742,100.0
1110,Center Attacking Midfield,7045,Valter Birsa,Chievo,231,2998,70.16129032258065,71.7741935483871,54.83870967741935,30.64516129032258,17.741935483870968,14.516129032258066,40.32258064516129,50.0,59.67741935483871,52.41935483870967,47.58064516129033,29.03225806451613
1134,Center Attacking Midfield,7139,Josip Iličić,Fiorentina,239,2242,64.51612903225806,77.41935483870968,48.38709677419355,16.93548387096774,71.7741935483871,56.451612903225815,95.16129032258065,98.38709677419355,62.096774193548384,98.38709677419355,51.61290322580645,57.25806451612904
1141,Center Attacking Midfield,7150,Riccardo Saponara,Empoli,290,3004,90.32258064516128,90.32258064516128,64.51612903225806,33.87096774193548,64.51612903225806,33.87096774193548,70.96774193548387,63.70967741935484,78.2258064516129,35.483870967741936,25.806451612903224,87.09677419354838
1175,Center Attacking Midfield,7696,Ryder Matos Santos,Udinese,230,1684,45.96774193548387,53.2258064516129,1.6129032258064515,14.516129032258066,46.774193548387096,50.0,55.64516129032258,86.29032258064517,48.38709677419355,25.0,77.41935483870968,57.25806451612904
1264,Center Attacking Midfield,10530,Jules Olivier Ntcham,Genoa,233,1031,6.451612903225806,74.19354838709677,88.70967741935483,80.64516129032258,71.7741935483871,79.03225806451613,62.903225806451616,8.064516129032258,53.2258064516129,4.838709677419355,95.96774193548387,79.03225806451613
1343,Center Attacking Midfield,26192,Matías Ariel Fernández Fernández,Fiorentina,239,1027,81.45161290322581,85.48387096774194,58.06451612903226,84.67741935483872,90.32258064516128,100.0,72.58064516129032,8.064516129032258,34.67741935483871,19.35483870967742,79.03225806451613,90.32258064516128
1367,Center Attacking Midfield,30829,Lorenzo Lollo,Carpi,1683,2350,13.709677419354838,1.6129032258064515,37.096774193548384,94.35483870967742,67.74193548387096,19.35483870967742,27.419354838709676,22.58064516129032,25.806451612903224,28.225806451612907,22.58064516129032,11.29032258064516
1474,Center Attacking Midfield,3186,Julian Draxler,Wolfsburg,179,2032,74.19354838709677,69.35483870967742,43.54838709677419,6.451612903225806,1.6129032258064515,77.41935483870968,61.29032258064516,72.58064516129032,88.70967741935483,73.38709677419355,58.87096774193549,47.58064516129033
1519,Center Attacking Midfield,5627,Ja-Cheol Koo,Augsburg,172,2227,16.93548387096774,30.64516129032258,24.193548387096776,67.74193548387096,58.87096774193549,62.903225806451616,37.903225806451616,37.096774193548384,34.67741935483871,83.87096774193549,88.70967741935483,14.516129032258066
1524,Center Attacking Midfield,5679,Yūya Ōsako,FC Köln,186,1295,6.451612903225806,50.0,41.935483870967744,58.06451612903226,11.29032258064516,46.774193548387096,69.35483870967742,83.06451612903226,41.935483870967744,12.903225806451612,74.19354838709677,30.64516129032258
1526,Center Attacking Midfield,5684,Shinji Kagawa,Borussia Dortmund,180,2386,81.45161290322581,51.61290322580645,74.19354838709677,27.419354838709676,27.419354838709676,95.16129032258065,14.516129032258066,77.41935483870968,30.64516129032258,88.70967741935483,45.16129032258064,77.41935483870968
1565,Center Attacking Midfield,8227,Mario Götze,Bayern Munich,169,1004,95.16129032258065,54.83870967741935,8.064516129032258,75.80645161290323,62.903225806451616,96.7741935483871,33.87096774193548,77.41935483870968,67.74193548387096,73.38709677419355,83.87096774193549,83.87096774193549
1576,Center Attacking Midfield,8243,Daniel Didavi,VfB Stuttgart,174,2768,40.32258064516129,27.419354838709676,53.2258064516129,40.32258064516129,9.67741935483871,40.32258064516129,96.7741935483871,96.7741935483871,20.967741935483872,96.7741935483871,71.7741935483871,36.29032258064516
1584,Center Attacking Midfield,8308,Aaron Hunt,Hamburger SV,171,1861,40.32258064516129,82.25806451612904,45.96774193548387,54.83870967741935,77.41935483870968,29.03225806451613,14.516129032258066,17.741935483870968,40.32258064516129,9.67741935483871,85.48387096774194,36.29032258064516
1585,Center Attacking Midfield,8309,Michael Gregoritsch,Hamburger SV,171,1401,6.451612903225806,45.16129032258064,69.35483870967742,27.419354838709676,19.35483870967742,4.838709677419355,100.0,91.93548387096774,9.67741935483871,83.87096774193549,8.064516129032258,19.35483870967742
1597,Center Attacking Midfield,8386,Max Kruse,Wolfsburg,179,2590,64.51612903225806,71.7741935483871,20.967741935483872,10.483870967741936,83.06451612903226,70.96774193548387,66.93548387096774,77.41935483870968,37.096774193548384,58.06451612903226,65.32258064516128,43.54838709677419
1610,Center Attacking Midfield,8403,Nadiem Amiri,Hoffenheim,175,1490,77.41935483870968,91.93548387096774,33.87096774193548,79.03225806451613,71.7741935483871,38.70967741935484,74.19354838709677,37.096774193548384,69.35483870967742,66.12903225806451,16.129032258064516,62.903225806451616
1615,Center Attacking Midfield,8508,Max Meyer,Schalke 04,181,2500,70.16129032258065,61.29032258064516,29.03225806451613,3.225806451612903,14.516129032258066,93.54838709677419,44.354838709677416,42.74193548387097,50.0,52.41935483870967,62.903225806451616,64.51612903225806
1648,Center Attacking Midfield,8579,Vladimír Darida,Hertha Berlin,173,2772,25.0,33.064516129032256,62.096774193548384,33.87096774193548,30.64516129032258,64.51612903225806,20.967741935483872,17.741935483870968,11.29032258064516,45.16129032258064,93.54838709677419,24.193548387096776
1655,Center Attacking Midfield,8679,Yunus Mallı,FSV Mainz 05,177,3053,50.0,37.903225806451616,12.903225806451612,8.064516129032258,29.03225806451613,20.967741935483872,58.06451612903226,86.29032258064517,57.25806451612904,83.87096774193549,11.29032258064516,47.58064516129033
1656,Center Attacking Midfield,8762,Zlatko Junuzović,Werder Bremen,176,2410,93.54838709677419,96.7741935483871,87.09677419354838,56.451612903225815,7.258064516129033,6.451612903225806,75.80645161290323,27.419354838709676,24.193548387096776,35.483870967741936,13.709677419354838,25.806451612903224
1776,Center Attacking Midfield,13675,Mario Vrančić,Darmstadt 98,872,1110,32.25806451612903,41.12903225806452,50.0,72.58064516129032,22.58064516129032,8.064516129032258,9.67741935483871,42.74193548387097,12.903225806451612,45.16129032258064,95.96774193548387,4.838709677419355
1812,Center Attacking Midfield,23268,Alexander Meier,Eintracht Frankfurt,184,1751,20.161290322580644,16.129032258064516,3.225806451612903,12.903225806451612,87.90322580645162,12.903225806451612,83.87096774193549,95.16129032258065,4.838709677419355,100.0,47.58064516129033,1.6129032258064515
1853,Center Attacking Midfield,38524,Hiroshi Kiyotake,Hannover 96,178,1850,90.32258064516128,95.16129032258065,82.25806451612904,16.93548387096774,87.90322580645162,32.25806451612903,25.806451612903224,37.096774193548384,83.87096774193549,66.12903225806451,98.38709677419355,33.87096774193548
1856,Center Attacking Midfield,40462,Halil Altıntop,Augsburg,172,1393,54.03225806451613,17.741935483870968,6.451612903225806,27.419354838709676,50.0,69.35483870967742,4.838709677419355,22.58064516129032,16.93548387096774,12.903225806451612,42.74193548387097,9.67741935483871
1865,Center Attacking Midfield,40477,Jan Rosenthal,Darmstadt 98,872,1584,20.161290322580644,3.225806451612903,9.67741935483871,19.35483870967742,95.96774193548387,1.6129032258064515,6.451612903225806,12.903225806451612,19.35483870967742,4.838709677419355,56.451612903225815,3.225806451612903
1896,Center Attacking Midfield,3089,Kevin De Bruyne,Manchester City,36,2056,96.7741935483871,98.38709677419355,83.87096774193549,40.32258064516129,37.903225806451616,26.61290322580645,64.51612903225806,58.87096774193549,78.2258064516129,78.2258064516129,54.03225806451613,88.70967741935483
