,main_position,player_id,player_name,team,team_id,minutes_played,saves_per90,save_percentage,xg_against_minus_goals_conceded_per90,keeper_sweeper_per90,penalty_save_percentage,aerial_dominance_index_per90,pass_completion_rate
213,Goalkeeper,6792,Pau López Sabata,Espanyol,214,3259,46.19565217391305,13.043478260869565,14.130434782608695,69.56521739130434,28.26086956521739,49.45652173913043,29.347826086956523
222,Goalkeeper,6823,Sergio Rico González,Sevilla,213,3166,67.3913043478261,70.65217391304348,53.2608695652174,29.347826086956523,28.26086956521739,66.84782608695652,73.36956521739131
247,Goalkeeper,6884,Sergio Álvarez Conde,Celta Vigo,209,2795,44.565217391304344,25.0,31.521739130434785,67.3913043478261,71.73913043478261,61.95652173913043,43.47826086956522
249,Goalkeeper,6898,Jaume Doménech Sánchez,Valencia,207,1579,91.30434782608695,93.47826086956522,88.04347826086956,17.934782608695652,98.91304347826086,16.304347826086957,46.73913043478261
291,Goalkeeper,8697,Andrés Eduardo Fernández Moreno,Granada,1049,3455,30.434782608695656,7.608695652173914,12.5,59.2391304347826,28.26086956521739,70.65217391304348,39.130434782608695
306,Goalkeeper,10763,Asier Riesgo Unamuno,Eibar,322,3159,15.217391304347828,4.3478260869565215,28.26086956521739,94.02173913043478,71.73913043478261,88.04347826086956,10.869565217391305
372,Goalkeeper,23843,Diego Mariño Villar,Levante UD,221,2144,74.45652173913044,23.91304347826087,20.108695652173914,69.56521739130434,28.26086956521739,52.17391304347826,82.6086956521739
394,Goalkeeper,24255,Juan Carlos Martín Corral,Rayo Vallecano,360,1767,78.26086956521739,20.652173913043477,4.891304347826087,98.91304347826086,71.73913043478261,45.65217391304348,85.86956521739131
408,Goalkeeper,25144,Diego Alves Carreira,Valencia,207,1209,82.06521739130434,42.391304347826086,39.130434782608695,4.3478260869565215,28.26086956521739,10.869565217391305,67.3913043478261
419,Goalkeeper,26070,Antonio Rodríguez Martínez,Rayo Vallecano,360,928,18.478260869565215,31.521739130434785,94.56521739130434,97.28260869565217,81.52173913043478,18.478260869565215,89.13043478260869
421,Goalkeeper,26103,Idriss Carlos Kameni,Málaga,223,2607,26.6304347826087,91.30434782608695,86.95652173913044,75.0,92.93478260869566,58.69565217391305,69.56521739130434
440,Goalkeeper,26753,Javier Varas Herrera,Las Palmas,208,2886,65.21739130434783,57.065217391304344,77.17391304347827,86.95652173913044,28.26086956521739,90.21739130434783,59.78260869565217
467,Goalkeeper,27305,Germán Darío Lux,RC Deportivo La Coruña,219,2699,25.0,28.26086956521739,36.95652173913043,73.36956521739131,71.73913043478261,53.80434782608695,18.478260869565215
520,Goalkeeper,3096,Rob Elliot,Newcastle United,37,1976,28.804347826086957,11.956521739130435,10.326086956521738,27.173913043478258,28.26086956521739,31.521739130434785,27.173913043478258
522,Goalkeeper,3099,Hugo Lloris,Tottenham Hotspur,38,3470,14.130434782608695,72.82608695652173,74.45652173913044,42.934782608695656,28.26086956521739,42.391304347826086,75.0
531,Goalkeeper,3262,Łukasz Fabiański,Swansea City,26,3481,69.56521739130434,67.3913043478261,45.108695652173914,25.0,28.26086956521739,82.6086956521739,63.04347826086957
543,Goalkeeper,3291,Joe Hart,Manchester City,36,3277,7.608695652173914,36.95652173913043,77.17391304347827,14.673913043478262,28.26086956521739,66.84782608695652,47.82608695652174
565,Goalkeeper,3333,David de Gea Quintana,Manchester United,39,3190,16.304347826086957,68.47826086956522,72.28260869565217,3.260869565217391,28.26086956521739,20.652173913043477,57.608695652173914
567,Goalkeeper,3339,Asmir Begović,Chelsea,33,1415,96.73913043478261,54.347826086956516,18.478260869565215,21.73913043478261,28.26086956521739,2.1739130434782608,26.08695652173913
595,Goalkeeper,3461,Petr Čech,Arsenal,1,3187,48.369565217391305,94.56521739130434,83.15217391304348,46.19565217391305,28.26086956521739,47.82608695652174,65.21739130434783
613,Goalkeeper,3488,Wayne Hennessey,Crystal Palace,31,2726,35.32608695652174,44.565217391304344,57.065217391304344,5.434782608695652,28.26086956521739,13.043478260869565,14.130434782608695
623,Goalkeeper,3509,Thibaut Courtois,Chelsea,33,2174,40.21739130434783,52.17391304347826,53.2608695652174,19.565217391304348,92.93478260869566,33.69565217391305,42.391304347826086
630,Goalkeeper,3522,Heurelho da Silva Gomes,Watford,23,3577,72.28260869565217,71.73913043478261,57.065217391304344,36.41304347826087,87.5,98.91304347826086,20.652173913043477
638,Goalkeeper,3537,Jack Butland,Stoke City,30,2910,66.30434782608695,69.56521739130434,60.32608695652174,14.673913043478262,28.26086956521739,25.0,23.91304347826087
640,Goalkeeper,3539,Simon Mignolet,Liverpool,24,3201,5.434782608695652,14.130434782608695,28.26086956521739,21.73913043478261,81.52173913043478,36.95652173913043,68.47826086956522
669,Goalkeeper,3623,Adrián San Miguel del Castillo,West Ham United,40,3016,61.41304347826087,73.91304347826086,80.43478260869566,51.63043478260869,78.26086956521739,44.565217391304344,33.69565217391305
710,Goalkeeper,3815,Kasper Schmeichel,Leicester City,22,3581,22.82608695652174,75.0,85.32608695652173,17.934782608695652,28.26086956521739,56.52173913043478,1.0869565217391304
727,Goalkeeper,3970,Fraser Forster,Southampton,25,1697,52.17391304347826,88.04347826086956,80.43478260869566,1.0869565217391304,28.26086956521739,1.0869565217391304,22.82608695652174
735,Goalkeeper,4053,Ben Foster,West Bromwich Albion,27,1406,58.69565217391305,79.34782608695652,64.67391304347827,9.239130434782608,28.26086956521739,3.260869565217391,13.043478260869565
778,Goalkeeper,5108,Glyn Oliver Myhill,West Bromwich Albion,27,2171,38.58695652173913,41.30434782608695,39.130434782608695,7.608695652173914,28.26086956521739,22.82608695652174,8.695652173913043
805,Goalkeeper,6871,Costel Fane Pantilimon,Sunderland,41,1599,97.82608695652173,40.21739130434783,22.82608695652174,39.130434782608695,28.26086956521739,14.673913043478262,15.217391304347828
818,Goalkeeper,9014,Declan Rudd,Norwich City,56,1034,38.58695652173913,2.1739130434782608,3.260869565217391,34.78260869565217,28.26086956521739,9.782608695652174,7.608695652173914
826,Goalkeeper,9539,Vito Mannone,Sunderland,41,1791,93.47826086956522,86.95652173913044,62.5,36.41304347826087,28.26086956521739,23.91304347826087,6.521739130434782
866,Goalkeeper,12608,Bradley Guzan,Aston Villa,59,2646,57.608695652173914,8.695652173913043,2.1739130434782608,16.304347826086957,28.26086956521739,26.08695652173913,41.30434782608695
867,Goalkeeper,13042,Tim Howard,Everton,29,2348,79.8913043478261,57.065217391304344,39.130434782608695,13.043478260869565,28.26086956521739,14.673913043478262,77.17391304347827
881,Goalkeeper,16309,Joel Robles Blázquez,Everton,29,1228,88.04347826086956,55.434782608695656,50.0,23.91304347826087,28.26086956521739,4.891304347826087,17.391304347826086
887,Goalkeeper,18672,Mark Bunn,Aston Villa,59,938,13.043478260869565,1.0869565217391304,10.326086956521738,9.239130434782608,92.93478260869566,8.152173913043478,11.956521739130435
899,Goalkeeper,20074,Artur Boruc,AFC Bournemouth,28,3010,11.956521739130435,3.260869565217391,4.891304347826087,11.41304347826087,71.73913043478261,28.26086956521739,64.13043478260869
900,Goalkeeper,20201,Maarten Stekelenburg,Southampton,25,1598,4.3478260869565215,16.304347826086957,41.84782608695652,2.1739130434782608,28.26086956521739,6.521739130434782,53.2608695652174
920,Goalkeeper,23635,John Ruddy,Norwich City,56,2542,20.652173913043477,9.782608695652174,20.108695652173914,26.08695652173913,28.26086956521739,21.73913043478261,30.434782608695656
971,Goalkeeper,3112,Anton Ciprian Tătărușanu,Fiorentina,239,3461,3.260869565217391,15.217391304347828,47.82608695652174,73.36956521739131,28.26086956521739,64.13043478260869,94.56521739130434
986,Goalkeeper,3742,Orestis Karnezis,Udinese,230,3550,42.391304347826086,21.73913043478261,15.760869565217392,29.347826086956523,57.065217391304344,57.608695652173914,25.0
1018,Goalkeeper,5669,Wojciech Szczęsny,AS Roma,229,3184,48.369565217391305,85.86956521739131,89.13043478260869,84.78260869565217,28.26086956521739,78.80434782608695,86.95652173913044
1056,Goalkeeper,6949,Gianluigi Buffon,Juventus,224,3264,6.521739130434782,98.91304347826086,94.56521739130434,33.15217391304348,81.52173913043478,29.891304347826086,96.73913043478261
1080,Goalkeeper,7001,Samir Handanovič,Inter Milan,238,3377,61.41304347826087,92.3913043478261,91.30434782608695,77.17391304347827,60.32608695652174,73.91304347826086,92.3913043478261
1089,Goalkeeper,7018,Emiliano Viviano,Sampdoria,234,3462,92.3913043478261,61.95652173913043,62.5,57.065217391304344,89.13043478260869,72.28260869565217,48.91304347826087
1097,Goalkeeper,7028,José Manuel Reina Páez,Napoli,227,3443,1.0869565217391304,18.478260869565215,69.56521739130434,77.17391304347827,28.26086956521739,43.47826086956522,97.82608695652173
1104,Goalkeeper,7036,Gianluigi Donnarumma,AC Milan,243,2813,28.804347826086957,77.17391304347827,72.28260869565217,82.06521739130434,28.26086956521739,84.78260869565217,80.43478260869566
1118,Goalkeeper,7055,Stefano Sorrentino,Palermo,2256,3269,79.8913043478261,39.130434782608695,17.391304347826086,66.30434782608695,28.26086956521739,97.82608695652173,38.04347826086957
1132,Goalkeeper,7132,Andrea Consigli,Sassuolo,232,3461,35.32608695652174,76.08695652173914,69.56521739130434,64.13043478260869,92.93478260869566,80.97826086956522,84.78260869565217
1139,Goalkeeper,7148,Mattia Perin,Genoa,233,2337,74.45652173913044,83.69565217391305,50.0,80.43478260869566,98.91304347826086,53.80434782608695,45.65217391304348
1144,Goalkeeper,7157,Marco Sportiello,Atalanta,228,3375,54.347826086956516,60.86956521739131,69.56521739130434,49.45652173913043,87.5,49.45652173913043,40.21739130434783
1153,Goalkeeper,7174,Antonio Mirante,Bologna,240,3089,43.47826086956522,47.82608695652174,77.17391304347827,89.13043478260869,57.065217391304344,94.56521739130434,52.17391304347826
1195,Goalkeeper,7803,Albano Benjamín Bizzarri,Chievo,231,3271,77.17391304347827,82.6086956521739,67.3913043478261,40.76086956521739,92.93478260869566,55.434782608695656,28.26086956521739
1218,Goalkeeper,8274,Pierluigi Gollini,Hellas Verona,226,2344,31.521739130434785,10.869565217391305,34.23913043478261,89.13043478260869,28.26086956521739,72.28260869565217,35.869565217391305
1238,Goalkeeper,8662,Vid Belec,Carpi,1683,2820,53.2608695652174,38.04347826086957,34.23913043478261,46.19565217391305,71.73913043478261,60.86956521739131,3.260869565217391
1255,Goalkeeper,9887,Rafael de Andrade Bittencourt Pinheiro,Hellas Verona,226,1122,84.78260869565217,46.73913043478261,12.5,38.04347826086957,28.26086956521739,17.391304347826086,56.52173913043478
1277,Goalkeeper,11508,Łukasz Skorupski,Empoli,290,2909,33.69565217391305,27.173913043478258,28.26086956521739,92.3913043478261,28.26086956521739,91.30434782608695,91.30434782608695
1287,Goalkeeper,12491,Federico Marchetti,Lazio,236,2717,26.6304347826087,30.434782608695656,45.108695652173914,55.434782608695656,85.32608695652173,35.869565217391305,83.69565217391305
1382,Goalkeeper,32037,Nicola Leali,Frosinone,291,3089,90.21739130434783,33.69565217391305,7.065217391304348,57.065217391304344,64.13043478260869,65.21739130434783,32.608695652173914
1393,Goalkeeper,34881,Daniele Padelli,Torino,241,3287,19.565217391304348,19.565217391304348,21.73913043478261,46.19565217391305,28.26086956521739,77.17391304347827,90.21739130434783
1401,Goalkeeper,38312,Eugenio Lamanna,Genoa,233,1213,55.434782608695656,43.47826086956522,34.23913043478261,83.69565217391305,28.26086956521739,32.608695652173914,73.36956521739131
1485,Goalkeeper,3630,Loris Karius,FSV Mainz 05,177,3145,82.06521739130434,78.26086956521739,80.43478260869566,94.02173913043478,85.32608695652173,86.95652173913044,44.565217391304344
1492,Goalkeeper,4600,Diego Orlando Benaglio,Wolfsburg,179,1937,41.30434782608695,5.434782608695652,1.0869565217391304,63.04347826086957,28.26086956521739,29.891304347826086,95.65217391304348
1506,Goalkeeper,5550,Yann Sommer,Borussia Mönchengladbach,185,2951,59.78260869565217,29.347826086956523,45.108695652173914,54.347826086956516,28.26086956521739,38.04347826086957,81.52173913043478
1512,Goalkeeper,5570,Manuel Neuer,Bayern Munich,169,3113,2.1739130434782608,96.73913043478261,100.0,53.2608695652174,28.26086956521739,39.130434782608695,98.91304347826086
1564,Goalkeeper,8225,Roman Bürki,Borussia Dortmund,180,3039,9.782608695652174,34.78260869565217,83.15217391304348,29.347826086956523,28.26086956521739,41.30434782608695,93.47826086956522
1574,Goalkeeper,8240,Koen Casteels,Wolfsburg,179,1204,56.52173913043478,95.65217391304348,94.56521739130434,40.76086956521739,98.91304347826086,11.956521739130435,88.04347826086956
1582,Goalkeeper,8306,Christian Mathenia,Darmstadt 98,872,3062,63.58695652173913,35.869565217391305,34.23913043478261,85.86956521739131,71.73913043478261,95.65217391304348,2.1739130434782608
1588,Goalkeeper,8314,Marwin Hitz,Augsburg,172,3059,94.56521739130434,63.04347826086957,60.32608695652174,59.2391304347826,60.32608695652174,69.02173913043478,70.65217391304348
1603,Goalkeeper,8393,Oliver Baumann,Hoffenheim,175,3070,100.0,84.78260869565217,50.0,61.95652173913043,28.26086956521739,75.0,66.30434782608695
1619,Goalkeeper,8517,Ralf Fährmann,Schalke 04,181,3142,72.28260869565217,51.08695652173913,28.26086956521739,51.63043478260869,81.52173913043478,83.69565217391305,76.08695652173914
1638,Goalkeeper,8560,René Adler,Hamburger SV,171,2229,76.08695652173914,64.13043478260869,45.108695652173914,77.17391304347827,28.26086956521739,51.08695652173913,21.73913043478261
1646,Goalkeeper,8577,Rune Almenning Jarstein,Hertha Berlin,173,2588,63.58695652173913,53.2608695652174,57.065217391304344,46.19565217391305,28.26086956521739,46.73913043478261,61.95652173913043
1650,Goalkeeper,8667,Lukáš Hrádecký,Eintracht Frankfurt,184,3143,89.13043478260869,45.65217391304348,41.84782608695652,100.0,71.73913043478261,100.0,58.69565217391305
1670,Goalkeeper,8821,Timo Horn,FC Köln,186,3060,85.86956521739131,80.97826086956522,57.065217391304344,11.41304347826087,71.73913043478261,34.78260869565217,51.08695652173913
1687,Goalkeeper,8947,Ron-Robert Zieler,Hannover 96,178,3138,98.91304347826086,48.91304347826087,24.456521739130434,89.13043478260869,28.26086956521739,92.3913043478261,78.26086956521739
1693,Goalkeeper,9082,Przemysław Tytoń,VfB Stuttgart,174,2770,95.65217391304348,32.608695652173914,15.760869565217392,33.15217391304348,71.73913043478261,27.173913043478258,50.0
1760,Goalkeeper,12319,Ramazan Özcan,Ingolstadt,189,2593,8.695652173913043,26.08695652173913,64.67391304347827,95.65217391304348,28.26086956521739,76.08695652173914,9.782608695652174
1779,Goalkeeper,15581,Bernd Leno,Bayer Leverkusen,904,3068,50.0,65.21739130434783,74.45652173913044,91.30434782608695,60.32608695652174,80.97826086956522,71.73913043478261
1813,Goalkeeper,23269,Felix Wiedwald,Werder Bremen,176,3154,68.47826086956522,17.391304347826086,7.065217391304348,79.34782608695652,28.26086956521739,63.04347826086957,55.434782608695656
