,main_position,player_id,player_name,team,team_id,minutes_played,progressive_passes_per90,chances_created_per90,dribbles_completed_per90,pass_completion_rate,duels_won_per90,pressures_per90,goals_scored_per90,goal_assists_per90,dribble_success_rate,duel_success_rate,ball_recoveries_per90
646,Right Center Midfield,3583,Ashley Westwood,Aston Villa,59,2917,76.04166666666666,76.04166666666666,19.791666666666664,58.333333333333336,48.95833333333333,56.25,45.3125,45.3125,57.291666666666664,80.20833333333334,23.4375
652,Left Center Midfield,3595,Manuel Lanzini,West Ham United,40,2168,29.166666666666668,78.125,94.79166666666666,92.70833333333334,24.479166666666664,1.0416666666666665,90.625,55.729166666666664,58.333333333333336,53.645833333333336,77.08333333333334
659,Left Center Midfield,3605,Sung-Yeung Ki,Swansea City,26,1977,54.166666666666664,48.95833333333333,28.645833333333332,100.0,9.375,15.625,60.9375,34.89583333333333,73.95833333333334,6.25,54.166666666666664
687,Left Center Midfield,3662,Danny Drinkwater,Leicester City,22,3299,88.54166666666666,62.5,42.70833333333333,38.54166666666667,89.0625,66.66666666666666,40.625,90.625,65.625,75.0,94.79166666666666
695,Right Center Midfield,3684,Cheikhou Kouyaté,West Ham United,40,3209,5.208333333333334,8.333333333333332,50.0,55.208333333333336,54.6875,16.666666666666664,79.16666666666666,39.0625,88.54166666666666,9.375,44.79166666666667
701,Right Center Midfield,3721,Etienne Capoue,Watford,23,3108,57.291666666666664,23.4375,88.02083333333334,48.95833333333333,87.5,39.58333333333333,11.458333333333332,26.041666666666668,50.520833333333336,83.33333333333334,86.45833333333334
715,Left Center Midfield,3874,Mark Noble,West Ham United,40,3493,68.75,69.27083333333334,38.54166666666667,88.54166666666666,54.6875,18.75,89.0625,63.020833333333336,85.41666666666666,17.708333333333336,68.75
730,Right Center Midfield,4022,Darren Fletcher,West Bromwich Albion,27,3577,66.66666666666666,21.875,59.375,35.41666666666667,8.333333333333332,9.375,23.4375,39.0625,52.083333333333336,31.770833333333332,90.625
752,Right Center Midfield,4429,Yann Gérard M''Vila,Sunderland,41,3388,79.16666666666666,71.875,40.625,45.83333333333333,85.9375,27.083333333333332,23.4375,51.041666666666664,96.35416666666666,58.333333333333336,76.04166666666666
766,Right Center Midfield,4751,Michael Carrick,Manchester United,39,2068,95.83333333333334,2.604166666666667,6.25,91.66666666666666,28.645833333333332,2.083333333333333,11.458333333333332,12.5,53.645833333333336,14.583333333333334,15.625
770,Left Center Midfield,4817,Joe Ledley,Crystal Palace,31,1035,1.0416666666666665,1.0416666666666665,8.854166666666668,65.625,45.83333333333333,38.54166666666667,54.166666666666664,12.5,77.60416666666666,72.91666666666666,2.083333333333333
786,Left Center Midfield,5540,Valon Behrami,Watford,23,1313,4.166666666666666,2.604166666666667,4.166666666666666,54.166666666666664,94.79166666666666,98.95833333333334,11.458333333333332,45.3125,2.604166666666667,27.083333333333332,47.39583333333333
809,Right Center Midfield,7153,Jordan Veretout,Aston Villa,59,1982,61.458333333333336,85.41666666666666,19.791666666666664,47.39583333333333,14.583333333333334,47.91666666666667,11.458333333333332,92.70833333333334,100.0,16.666666666666664,38.02083333333333
830,Left Center Midfield,9578,Jonathan Howson,Norwich City,56,3111,46.875,38.54166666666667,54.6875,27.083333333333332,70.83333333333334,45.83333333333333,54.166666666666664,67.70833333333334,69.79166666666666,59.895833333333336,31.770833333333332
851,Right Center Midfield,10783,Lee Cattermole,Sunderland,41,2543,45.83333333333333,27.604166666666668,19.791666666666664,30.208333333333332,68.75,19.791666666666664,11.458333333333332,12.5,96.35416666666666,92.70833333333334,13.541666666666666
878,Right Center Midfield,16072,Vurnon Anita,Newcastle United,37,2259,74.47916666666666,10.9375,22.916666666666664,36.45833333333333,85.9375,67.70833333333334,30.208333333333332,67.70833333333334,29.6875,38.54166666666667,51.5625
882,Right Center Midfield,16334,Graham Dorrans,Norwich City,56,1317,70.83333333333334,59.375,48.95833333333333,83.33333333333334,28.645833333333332,23.958333333333336,11.458333333333332,45.3125,91.66666666666666,61.979166666666664,83.33333333333334
954,Right Center Midfield,42900,Cheik Ismaël Tioté,Newcastle United,37,1507,42.70833333333333,10.9375,46.35416666666667,89.58333333333334,90.625,35.41666666666667,11.458333333333332,12.5,77.60416666666666,78.125,53.125
993,Left Center Midfield,5204,Bruno Miguel Borges Fernandes,Udinese,230,2247,77.08333333333334,82.8125,72.91666666666666,9.375,16.666666666666664,36.45833333333333,71.35416666666666,84.89583333333334,35.41666666666667,13.020833333333334,64.58333333333334
999,Right Center Midfield,5469,Marcelo Brozović,Inter Milan,238,2341,94.79166666666666,90.625,85.41666666666666,52.083333333333336,65.625,97.91666666666666,81.25,81.77083333333334,25.0,57.291666666666664,78.125
1003,Left Center Midfield,5512,Emil Hallfreðsson,Udinese,230,2058,55.208333333333336,66.14583333333334,71.35416666666666,15.625,45.83333333333333,90.625,11.458333333333332,34.89583333333333,84.375,26.041666666666668,74.47916666666666
1008,Right Center Midfield,5566,Sami Khedira,Juventus,224,1859,2.083333333333333,15.104166666666666,30.208333333333332,80.20833333333334,3.125,8.333333333333332,95.83333333333334,79.16666666666666,73.95833333333334,70.3125,5.208333333333334
1011,Right Center Midfield,5589,Sergej Milinković-Savić,Lazio,236,1600,60.416666666666664,55.208333333333336,76.04166666666666,10.416666666666668,67.1875,81.25,40.625,12.5,17.708333333333336,59.895833333333336,80.20833333333334
1012,Right Center Midfield,5605,Oscar Hiljemark,Palermo,2256,3359,12.5,59.375,21.875,23.958333333333336,5.208333333333334,44.79166666666667,66.66666666666666,76.5625,42.1875,25.0,10.416666666666668
1014,Right Center Midfield,5660,Piotr Zieliński,Empoli,290,3285,30.208333333333332,79.16666666666666,92.70833333333334,61.458333333333336,51.041666666666664,40.625,76.04166666666666,63.020833333333336,64.58333333333334,48.95833333333333,31.770833333333332
1033,Left Center Midfield,6589,Geoffrey Kondogbia,Inter Milan,238,2162,41.66666666666667,23.4375,84.375,95.83333333333334,61.458333333333336,89.0625,37.5,12.5,50.520833333333336,23.958333333333336,95.83333333333334
1041,Right Center Midfield,6759,Roberto Soriano,Sampdoria,234,3087,20.833333333333336,32.8125,52.083333333333336,76.04166666666666,45.83333333333333,28.645833333333332,94.27083333333334,67.70833333333334,31.25,42.70833333333333,29.166666666666668
1050,Left Center Midfield,6941,Jasmin Kurtič,Atalanta,228,2811,14.583333333333334,8.333333333333332,42.70833333333333,20.833333333333336,6.25,55.208333333333336,45.3125,12.5,94.27083333333334,4.166666666666666,3.125
1054,Right Center Midfield,6947,Miralem Pjanić,AS Roma,229,2802,89.58333333333334,97.91666666666666,46.35416666666667,59.375,12.5,52.083333333333336,97.91666666666666,97.91666666666666,63.541666666666664,53.645833333333336,14.583333333333334
1057,Right Center Midfield,6952,Alberto Grassi,Atalanta,228,1220,7.291666666666667,19.791666666666664,15.625,41.66666666666667,10.416666666666668,22.916666666666664,11.458333333333332,12.5,4.166666666666666,1.0416666666666665,26.041666666666668
