,main_position,player_id,player_name,team,team_id,minutes_played,tackle_success_rate,tackles_successful_per90,interceptions_per90,interception_success_rate,pressures_per90,chances_created_per90,pass_completion_rate,progressive_carries_per90,crosses_completed_per90,duels_won_per90,fouls_committed_per90,goals_scored_per90,goal_assists_per90
150,Left Back,6674,Alberto De La Bella Madureño,Real Sociedad,210,1299,7.392996108949417,24.708171206225682,64.78599221789884,14.396887159533073,17.120622568093385,38.52140077821012,42.996108949416346,31.906614785992215,53.69649805447471,27.237354085603112,66.53696498054474,29.18287937743191,16.731517509727624
151,Left Back,6675,Antonio Manuel Luna Rodríguez,Eibar,322,1111,49.0272373540856,70.42801556420234,92.02334630350194,51.55642023346303,31.517509727626457,21.40077821011673,22.56809338521401,20.428015564202333,45.719844357976655,76.07003891050583,6.031128404669261,29.18287937743191,65.75875486381322
153,Right Back,6679,Aritz Elustondo Irribaria,Real Sociedad,210,2786,47.276264591439684,47.66536964980545,91.43968871595331,64.59143968871595,37.7431906614786,18.482490272373543,47.85992217898833,43.190661478599225,48.054474708171206,51.36186770428015,41.43968871595331,65.75875486381322,16.731517509727624
161,Right Back,6699,Ander Capa Rodríguez,Eibar,322,3160,58.754863813229576,83.0739299610895,96.88715953307393,38.91050583657588,47.081712062256805,39.494163424124515,1.556420233463035,82.87937743190662,60.505836575875485,72.76264591439688,80.1556420233463,76.45914396887159,79.76653696498055
170,Left Back,6718,Sergio Escudero Palomo,Sevilla,213,1212,4.669260700389105,46.88715953307393,91.05058365758755,88.91050583657587,65.36964980544747,89.6887159533074,33.46303501945525,70.42801556420234,89.6887159533074,58.36575875486382,91.43968871595331,84.63035019455253,16.731517509727624
180,Left Back,6734,Luis Carlos Correia Pinto,RC Deportivo La Coruña,219,1029,37.35408560311284,81.51750972762646,34.43579766536965,4.085603112840467,86.38132295719845,15.56420233463035,12.062256809338521,82.49027237354085,14.785992217898833,82.68482490272373,95.71984435797665,29.18287937743191,16.731517509727624
184,Right Back,6738,Juan Francisco Moreno Fuertes,RC Deportivo La Coruña,219,2791,79.37743190661479,44.94163424124514,94.55252918287937,42.80155642023346,17.898832684824903,41.43968871595331,19.06614785992218,59.53307392996109,48.054474708171206,48.83268482490272,2.3346303501945527,65.75875486381322,16.731517509727624
202,Right Back,6772,Mario Gaspar Pérez Martínez,Villarreal,222,2982,13.618677042801556,40.27237354085603,39.688715953307394,7.587548638132295,12.45136186770428,9.53307392996109,48.249027237354085,38.52140077821012,6.420233463035019,45.525291828793776,28.01556420233463,80.93385214007782,38.13229571984436
204,Left Back,6776,David Juncà Reñé,Eibar,322,2327,66.53696498054474,76.65369649805449,80.73929961089495,50.97276264591439,53.69649805447471,61.478599221789885,9.33852140077821,70.8171206225681,84.8249027237354,79.1828793774319,78.59922178988327,29.18287937743191,91.24513618677042
208,Left Back,6784,Antonio García Aranda,Levante UD,221,2417,84.04669260700389,29.571984435797667,80.1556420233463,32.68482490272373,25.291828793774318,67.70428015564202,28.793774319066145,74.90272373540856,73.92996108949417,29.571984435797667,92.80155642023347,29.18287937743191,59.92217898832685
209,Right Back,6787,Pedro López Muñoz,Levante UD,221,1491,19.45525291828794,21.595330739299612,72.37354085603113,34.43579766536965,40.856031128404666,3.8910505836575875,67.31517509727627,24.31906614785992,28.21011673151751,21.98443579766537,72.37354085603113,80.93385214007782,16.731517509727624
211,Left Back,6789,Mikel Balenziaga Oruesagasti,Athletic Club,215,3070,32.295719844357976,42.80155642023346,93.3852140077821,76.65369649805449,58.754863813229576,51.9455252918288,63.035019455252915,41.43968871595331,70.8171206225681,41.245136186770424,50.19455252918288,29.18287937743191,65.75875486381322
212,Right Back,6791,Javier López Rodríguez,Espanyol,214,2603,78.21011673151752,88.715953307393,97.27626459143968,94.94163424124513,69.64980544747081,13.229571984435799,26.07003891050584,28.793774319066145,48.054474708171206,91.63424124513618,92.80155642023347,29.18287937743191,55.252918287937746
219,Left Back,6802,Jonathan Castro Otto,Celta Vigo,209,3170,52.14007782101168,50.97276264591439,97.85992217898833,80.35019455252919,77.431906614786,46.69260700389105,90.6614785992218,62.64591439688716,28.21011673151751,51.36186770428015,61.86770428015564,60.311284046692606,79.76653696498055
221,Right Back,6805,Hugo Mallo Novegil,Celta Vigo,209,3075,23.73540856031128,64.39688715953308,81.71206225680933,33.65758754863813,73.15175097276264,21.40077821011673,76.45914396887159,30.35019455252918,18.09338521400778,65.1750972762646,85.01945525291829,60.311284046692606,79.76653696498055
225,Left Back,6828,Jaume Vicent Costa Jordá,Villarreal,222,1584,21.78988326848249,71.59533073929961,96.49805447470817,62.45136186770428,24.90272373540856,6.614785992217899,78.21011673151752,12.45136186770428,3.501945525291829,69.8443579766537,64.39688715953308,76.45914396887159,49.61089494163424
236,Left Back,6856,Carlos Martín Vigaray,Getafe,216,1300,54.08560311284047,87.93774319066148,69.26070038910505,48.44357976653696,55.6420233463035,32.295719844357976,52.723735408560316,11.089494163424124,4.863813229571985,83.26848249027238,74.70817120622569,80.93385214007782,16.731517509727624
240,Right Back,6865,Francisco José Molinero Calderón,Real Betis,218,1396,93.96887159533074,72.568093385214,77.23735408560312,83.26848249027238,23.151750972762645,18.482490272373543,53.69649805447471,16.536964980544745,21.78988326848249,66.34241245136187,87.7431906614786,29.18287937743191,55.252918287937746
245,Left Back,6878,Miguel Torres Gómez,Málaga,223,2046,39.88326848249027,63.42412451361867,23.151750972762645,5.836575875486381,18.28793774319066,26.07003891050584,21.011673151750973,1.1673151750972763,20.038910505836576,58.36575875486382,35.019455252918284,29.18287937743191,65.75875486381322
253,Left Back,6913,Fernando Navarro i Corbacho,RC Deportivo La Coruña,219,3256,57.19844357976653,74.31906614785993,92.60700389105058,85.60311284046692,20.233463035019454,14.396887159533073,41.82879377431907,21.78988326848249,7.392996108949417,68.48249027237354,43.190661478599225,29.18287937743191,49.61089494163424
254,Left Back,6914,Roberto Román Triguero,Rayo Vallecano,360,2694,68.8715953307393,20.428015564202333,62.45136186770428,50.38910505836576,30.739299610894943,39.494163424124515,73.15175097276264,17.898832684824903,28.21011673151751,23.540856031128403,57.58754863813229,65.75875486381322,75.29182879377431
257,Right Back,6927,David García Santana,Las Palmas,208,1674,44.55252918287938,38.13229571984436,89.10505836575877,47.85992217898833,2.7237354085603114,26.07003891050584,80.93385214007782,6.22568093385214,14.785992217898833,37.54863813229572,7.392996108949417,93.77431906614785,49.61089494163424
260,Left Back,6932,Dani Castellano Betancor,Las Palmas,208,2325,52.52918287937744,51.9455252918288,98.83268482490273,64.59143968871595,26.459143968871597,24.5136186770428,82.87937743190662,88.715953307393,16.147859922178988,45.525291828793776,40.27237354085603,29.18287937743191,16.731517509727624
262,Left Back,6935,Adrián Marín Gómez,Villarreal,222,933,75.68093385214007,96.49805447470817,62.45136186770428,6.809338521400778,39.29961089494164,40.46692607003891,54.474708171206224,31.517509727626457,45.719844357976655,98.0544747081712,48.44357976653696,29.18287937743191,16.731517509727624
264,Right Back,7005,João Pedro Cavaco Cancelo,Valencia,207,2322,52.918287937743195,67.89883268482491,95.71984435797665,75.4863813229572,45.719844357976655,46.69260700389105,50.0,84.43579766536965,51.16731517509727,74.90272373540856,85.99221789883269,65.75875486381322,91.24513618677042
269,Left Back,7158,Cristiano Biraghi,Granada,1049,2988,12.062256809338521,35.019455252918284,49.221789883268485,39.88326848249027,10.116731517509727,32.295719844357976,14.396887159533073,18.67704280155642,45.719844357976655,31.1284046692607,63.42412451361867,29.18287937743191,38.13229571984436
271,Left Back,7577,Carles Planas Antolínez,Celta Vigo,209,1676,35.21400778210117,86.57587548638132,85.99221789883269,33.07392996108949,91.05058365758755,24.5136186770428,66.14785992217898,63.035019455252915,30.544747081712064,83.65758754863813,32.68482490272373,29.18287937743191,75.29182879377431
