player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
8551,Felix Klaus,Hannover 96,178,"['Left Wing', 'Right Wing', 'Left Midfield', 'Left Center Midfield', 'Right Midfield', 'Center Attacking Midfield']",18
8554,Levin Mete Öztunali,Werder Bremen,176,"['Left Center Forward', 'Right Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Midfield', 'Right Wing', 'Left Wing', 'Left Wing Back']",25
8555,Pablo Ezequiel De Blasis,FSV Mainz 05,177,"['Left Wing', 'Left Wing Back', 'Left Midfield', 'Right Center Forward', 'Right Wing', 'Right Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing Back']",26
8556,Pirmin Schwegler,Hoffenheim,175,"['Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Center Midfield']",21
8557,Martin Harnik,VfB Stuttgart,174,"['Right Center Forward', 'Right Midfield', 'Right Wing Back', 'Right Wing', 'Right Center Midfield', 'Left Center Forward', 'Left Midfield', 'Center Defensive Midfield', 'Center Forward']",19
8558,Charlison Benschop,Hannover 96,178,"['Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Attacking Midfield', 'Right Midfield', 'Right Wing']",9
8559,Stefan Bell,FSV Mainz 05,177,"['Left Center Back', 'Center Back', 'Right Center Back']",30
8560,René Adler,Hamburger SV,171,['Goalkeeper'],24
8561,Fabian Frei,FSV Mainz 05,177,"['Left Defensive Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Center Back', 'Right Center Back', 'Right Defensive Midfield']",17
8570,Niklas Stark,Hertha Berlin,173,"['Left Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back', 'Center Defensive Midfield']",21
8571,Vedad Ibišević,Hertha Berlin,173,"['Right Center Forward', 'Center Forward', 'Left Center Forward']",26
8573,Ömer Toprak,Bayer Leverkusen,904,"['Right Defensive Midfield', 'Left Center Back', 'Center Back', 'Center Forward', 'Center Defensive Midfield']",19
8574,Alexander Esswein,Augsburg,172,"['Right Wing', 'Right Midfield', 'Right Center Midfield', 'Right Center Forward', 'Left Wing', 'Right Back']",29
8575,Salomon Armand Magloire Kalou,Hertha Berlin,173,"['Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Midfield', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Right Midfield']",32
8576,Mitchell Weiser,Hertha Berlin,173,"['Left Center Forward', 'Right Midfield', 'Right Wing', 'Left Midfield', 'Right Back', 'Left Wing', 'Right Center Midfield']",29
8577,Rune Almenning Jarstein,Hertha Berlin,173,['Goalkeeper'],29
8578,Per Ciljan Skjelbred,Hertha Berlin,173,"['Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Forward', 'Right Midfield', 'Right Center Midfield', 'Left Center Midfield']",31
8579,Vladimír Darida,Hertha Berlin,173,"['Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Forward']",31
8580,Sebastian Langkamp,Hertha Berlin,173,['Right Center Back'],22
8582,Fabian Reese,Schalke 04,181,['Left Center Forward'],1
8667,Lukáš Hrádecký,Eintracht Frankfurt,184,['Goalkeeper'],34
8669,Mijat Gaćinović,Eintracht Frankfurt,184,"['Left Midfield', 'Left Wing', 'Right Back', 'Right Wing', 'Center Attacking Midfield']",7
8670,Timothy Chandler,Eintracht Frankfurt,184,"['Right Back', 'Right Midfield', 'Right Wing Back', 'Right Center Back', 'Right Wing']",12
