player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
11339,Paweł Wszołek,Hellas Verona,226,"['Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Right Center Forward', 'Right Midfield', 'Left Midfield', 'Left Wing Back', 'Right Back', 'Left Back', 'Right Center Midfield']",28
11342,Eros Pisano,Hellas Verona,226,"['Right Back', 'Left Back', 'Right Center Back', 'Right Wing Back']",34
11426,Andrea Seculin,Chievo,231,['Goalkeeper'],3
11427,Filip Đorđević,Lazio,236,"['Center Forward', 'Left Center Forward', 'Left Wing', 'Right Center Forward']",27
11494,Luca Siligardi,Hellas Verona,226,"['Right Wing', 'Right Midfield', 'Right Center Midfield', 'Right Center Forward', 'Left Wing', 'Center Forward', 'Center Attacking Midfield', 'Right Back', 'Left Midfield', 'Left Center Midfield']",28
11497,Jonathan Ludovic Biabiany,Inter Milan,238,"['Right Wing Back', 'Right Midfield', 'Right Back', 'Right Wing', 'Left Defensive Midfield', 'Left Midfield']",20
11499,Riccardo Gagliolo,Carpi,1683,"['Left Back', 'Left Center Back', 'Left Wing Back']",31
11502,Antonio Di Gaudio,Carpi,1683,"['Left Midfield', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Left Center Midfield']",29
11508,Łukasz Skorupski,Empoli,290,['Goalkeeper'],31
11512,Rade Krunić,Empoli,290,"['Center Attacking Midfield', 'Left Center Midfield', 'Left Center Forward', 'Right Center Midfield', 'Center Defensive Midfield']",15
11516,Manuel Pasqual,Fiorentina,239,"['Left Back', 'Left Wing Back', 'Right Attacking Midfield', 'Left Wing', 'Right Wing Back']",17
11519,Antonino La Gumina,Palermo,2256,"['Right Center Forward', 'Center Forward']",3
11602,Raffaele Maiello,Empoli,290,"['Center Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield']",12
11608,Danilo Soddimo,Frosinone,291,"['Left Midfield', 'Left Wing', 'Right Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Wing', 'Right Defensive Midfield']",28
11643,Riccardo Meggiorini,Chievo,231,"['Right Center Forward', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Attacking Midfield']",26
11672,Samuele Longo,Frosinone,291,"['Right Center Forward', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Right Midfield', 'Left Attacking Midfield', 'Right Wing']",18
11722,Boukary Dramé,Atalanta,228,"['Left Back', 'Left Wing Back']",25
11729,Luca Rizzo,Bologna,240,"['Left Midfield', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Back', 'Right Wing Back']",23
12475,Angelo Esmael da Costa Júnior,Bologna,240,['Goalkeeper'],5
12491,Federico Marchetti,Lazio,236,['Goalkeeper'],29
12619,Josef Alexander Martínez Mencia,Torino,241,"['Right Center Forward', 'Left Center Forward', 'Right Wing Back', 'Left Wing', 'Left Wing Back', 'Right Wing']",20
12759,Maximiliano Nicol Moralez,Atalanta,228,"['Right Wing', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Center Attacking Midfield']",17
13612,Lorenzo Ariaudo,Empoli,290,"['Left Center Back', 'Right Center Back', 'Center Back']",9
13613,Daniel Ciofani,Frosinone,291,"['Right Center Forward', 'Center Forward', 'Left Center Forward']",37
13614,Francesco Bardi,Frosinone,291,['Goalkeeper'],2
15161,Alexander Merkel,Udinese,230,['Right Center Midfield'],1
15318,Lazaros Christodoulopoulos,Sampdoria,234,"['Right Back', 'Right Wing', 'Left Wing', 'Left Back', 'Right Wing Back', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Attacking Midfield', 'Left Wing Back']",10
15415,Matteo Mancosu,Carpi,1683,"['Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Back', 'Left Wing']",21
15780,Francesco Totti,AS Roma,229,"['Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Forward']",13
15818,Gervais Lombe Yao Kouassi,AS Roma,229,"['Right Wing', 'Left Wing', 'Center Forward', 'Left Center Forward', 'Right Midfield']",14
15959,Nenad Krstičić,Sampdoria,234,"['Left Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield']",10
16061,Uroš Ćosić,Empoli,290,"['Left Center Back', 'Right Center Back']",9
16202,Nikola Maksimović,Torino,241,"['Right Center Back', 'Right Wing Back']",16
16308,Leandro Daniel Paredes,Empoli,290,"['Right Center Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield']",33
16453,Gary Alexis Medel Soto,Inter Milan,238,"['Right Center Midfield', 'Center Defensive Midfield', 'Right Center Back', 'Left Center Back', 'Center Back', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Back']",29
16495,Omar El Kaddouri,Napoli,227,"['Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Center Forward', 'Center Defensive Midfield']",20
16586,Fernando Lucas Martins,Sampdoria,234,"['Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield']",35
17520,Federico Barba,Empoli,290,['Left Center Back'],10
18027,Matteo Brighi,Bologna,240,"['Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Center Back', 'Center Attacking Midfield']",23
18028,Levan Mchedlidze,Empoli,290,"['Left Center Forward', 'Right Center Forward', 'Center Forward']",13
18237,Ionuț Andrei Radu,Inter Milan,238,['Goalkeeper'],1
18874,Mauricio Aníbal Isla Isla,Juventus,224,['Right Wing Back'],1
18946,Paul-José M''Poku Ebunge,Chievo,231,"['Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Wing']",20
