player_id,player,ultimo_equipo,ultimo_team_id,posiciones,partidos_jugados
3473,James Philip Milner,Liverpool,24,"['Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Wing', 'Center Defensive Midfield', 'Right Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Back']",28
3475,Per Mertesacker,Arsenal,1,['Right Center Back'],24
3476,Muhamed Bešić,Everton,29,"['Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Left Wing', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Back', 'Right Back']",12
3478,Francesc Fàbregas i Soler,Chelsea,33,"['Right Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Wing', 'Right Wing Back']",37
3479,Sam Field,West Bromwich Albion,27,['Left Wing'],1
3480,Geoff Cameron,Stoke City,30,"['Right Center Back', 'Right Back', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Back']",30
3482,James Collins,West Ham United,40,"['Right Center Back', 'Right Back', 'Left Center Back', 'Center Back', 'Left Wing']",19
3483,Mamadou Sakho,Liverpool,24,"['Left Center Back', 'Right Center Back']",22
3487,Julián Speroni,Crystal Palace,31,['Goalkeeper'],2
3488,Wayne Hennessey,Crystal Palace,31,['Goalkeeper'],29
3490,James Morrison,West Bromwich Albion,27,"['Left Defensive Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Wing']",18
3491,Dimitri Payet,West Ham United,40,"['Left Wing', 'Left Midfield', 'Left Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Center Forward']",30
3493,Emre Can,Liverpool,24,"['Center Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Left Back']",30
3495,Joe Gomez,Liverpool,24,"['Left Back', 'Right Center Back']",5
3496,Mesut Özil,Arsenal,1,"['Center Attacking Midfield', 'Right Wing', 'Center Forward', 'Left Wing']",35
3498,Ignacio Monreal Eraso,Arsenal,1,['Left Back'],37
3501,Philippe Coutinho Correia,Liverpool,24,"['Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Attacking Midfield', 'Left Center Midfield', 'Left Midfield', 'Right Midfield']",26
3504,Ruben Loftus-Cheek,Chelsea,33,"['Left Defensive Midfield', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Right Midfield']",13
3507,Wilfried Zaha,Crystal Palace,31,"['Right Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Forward']",34
3509,Thibaut Courtois,Chelsea,33,['Goalkeeper'],23
3511,Héctor Bellerín Moruno,Arsenal,1,['Right Back'],36
3514,James McClean,West Bromwich Albion,27,"['Left Midfield', 'Right Midfield', 'Right Center Forward', 'Right Wing', 'Left Wing', 'Left Back', 'Left Wing Back']",35
3515,Alberto Moreno Pérez,Liverpool,24,"['Right Wing', 'Left Wing', 'Right Center Midfield', 'Left Wing Back', 'Center Defensive Midfield', 'Left Back', 'Left Center Back']",32
3517,Aaron Ramsey,Arsenal,1,"['Right Defensive Midfield', 'Right Wing', 'Left Defensive Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Midfield']",31
3518,Leighton Baines,Everton,29,"['Left Back', 'Left Wing Back']",18
3520,Jeffrey Schlupp,Leicester City,22,"['Left Back', 'Left Midfield', 'Right Midfield', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Right Wing']",24
3522,Heurelho da Silva Gomes,Watford,23,['Goalkeeper'],38
3523,Craig Dawson,West Bromwich Albion,27,"['Right Center Back', 'Right Back', 'Left Center Back', 'Left Back', 'Right Midfield']",38
3525,Alex Oxlade-Chamberlain,Arsenal,1,"['Right Wing', 'Right Back', 'Left Wing', 'Center Attacking Midfield', 'Right Defensive Midfield']",22
3528,Kieran Gibbs,Arsenal,1,"['Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Back']",15
3529,Daniel Andre Sturridge,Liverpool,24,"['Right Center Forward', 'Left Center Forward', 'Center Forward']",14
3532,Jordan Brian Henderson,Liverpool,24,"['Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Wing']",17
3533,Xherdan Shaqiri,Stoke City,30,"['Right Wing', 'Left Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Right Midfield', 'Right Defensive Midfield']",27
3534,Clinton Mua N''Jie,Tottenham Hotspur,38,"['Center Attacking Midfield', 'Left Wing', 'Center Forward', 'Left Attacking Midfield']",8
3535,Roberto Firmino Barbosa de Oliveira,Liverpool,24,"['Right Wing', 'Left Wing', 'Right Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Forward', 'Left Center Forward']",31
3537,Jack Butland,Stoke City,30,['Goalkeeper'],31
3538,Wayne Mark Rooney,Manchester United,39,"['Center Forward', 'Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Left Center Midfield']",28
3539,Simon Mignolet,Liverpool,24,['Goalkeeper'],34
3541,Chris Brunt,West Bromwich Albion,27,"['Left Back', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Left Defensive Midfield']",22
3542,Jonjoe Kenny,Everton,29,['Right Back'],1
3567,Georginio Wijnaldum,Newcastle United,37,"['Center Attacking Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Wing', 'Right Defensive Midfield', 'Left Attacking Midfield', 'Left Defensive Midfield', 'Right Wing']",38
3568,Mohamed Naser Elsayed Elneny,Arsenal,1,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Wing']",11
3569,Daniel Nii Tackie Mensah Welbeck,Arsenal,1,"['Right Defensive Midfield', 'Substitute', 'Right Wing', 'Center Forward', 'Left Wing']",11
3576,Martin Olsson,Norwich City,56,"['Left Midfield', 'Left Back', 'Left Wing Back', 'Left Center Back']",24
3583,Ashley Westwood,Aston Villa,59,"['Center Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Forward']",32
3585,Erik Lamela,Tottenham Hotspur,38,"['Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Right Attacking Midfield']",34
3586,Samuel Mark Byram,West Ham United,40,"['Right Back', 'Right Center Back']",4
3589,Yannick Bolasie Yala,Crystal Palace,31,"['Right Midfield', 'Left Midfield', 'Left Wing', 'Center Forward', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield']",26
3590,Rhu-endly Martina,Southampton,25,"['Right Back', 'Left Back', 'Right Wing Back']",15
3594,Danny Rose,Tottenham Hotspur,38,"['Left Back', 'Left Wing Back']",24
3595,Manuel Lanzini,West Ham United,40,"['Left Center Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Left Midfield', 'Right Center Midfield']",26
3596,Gareth McAuley,West Bromwich Albion,27,"['Right Center Back', 'Center Back']",34
3598,Wilfried Guemiand Bony,Manchester City,36,"['Center Forward', 'Right Center Forward', 'Left Wing', 'Left Center Forward', 'Center Attacking Midfield', 'Right Wing']",26
3600,Morgan Schneiderlin,Manchester United,39,"['Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield']",29
3602,Faustino Marcos Alberto Rojo,Manchester United,39,"['Left Back', 'Left Center Back']",16
3603,Mame Biram Diouf,Stoke City,30,"['Center Forward', 'Right Wing', 'Left Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Midfield', 'Left Midfield', 'Right Back']",26
3604,Olivier Giroud,Arsenal,1,"['Center Forward', 'Right Wing', 'Left Defensive Midfield', 'Right Defensive Midfield']",38
3605,Sung-Yeung Ki,Swansea City,26,"['Left Center Midfield', 'Right Center Midfield', 'Left Wing', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Midfield']",28
3606,Ander Herrera Agüera,Manchester United,39,"['Center Attacking Midfield', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Midfield']",27
3607,James McCarthy,Everton,29,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Back', 'Left Center Midfield', 'Right Center Back']",29
3608,Simon Francis,AFC Bournemouth,28,"['Right Back', 'Right Center Back']",38
3609,Michel Vorm,Tottenham Hotspur,38,['Goalkeeper'],1
3611,Kevin Wimmer,Tottenham Hotspur,38,['Left Center Back'],10
3612,Ashley Young,Manchester United,39,"['Left Wing', 'Right Wing', 'Left Back', 'Right Back', 'Right Wing Back', 'Left Wing Back', 'Center Forward', 'Left Midfield']",18
3616,Callum Wilson,AFC Bournemouth,28,"['Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Midfield']",13
3619,Alex McCarthy,Crystal Palace,31,['Goalkeeper'],7
3621,Eden Hazard,Chelsea,33,"['Left Wing', 'Right Wing', 'Left Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Forward', 'Left Center Midfield']",31
3623,Adrián San Miguel del Castillo,West Ham United,40,['Goalkeeper'],32
